nan-TW-Latn-pehoeji,nan-TW-Latn-tailo,zh-Hant-TW,en-US
I chin hán-tit lâi.,,他很少來,He very seldom comes.
hán,hán,造謠 | 留言,to rumor
M̄-thang o͘-pe̍h hán.,,不要胡亂造謠,Don’t start a rumor without a foundation in fact.
ū lâng hán kóng i sí-khì-ah.,,有人造謠說他死了,Rumor says that he’s dead.
han-chî,han-tsî,甘薯 | 地瓜 | 蕃薯,sweet potatoes
hàn-jī,hàn-jī,漢字,Chinese characters
Bē hiáu siá hàn-jī.,,不會寫漢字（中國字）,Can’t write characters.
Bē hiáu khòaⁿ hàn-jī.,,不會看漢字,Can’t read characters.
hân-kok,hân-kok,韓國,Korea
hàn tiâu,hàn tiâu,漢朝,The [Han3] Dynasty
hân-tâm | kóng-êng-ōe,hân-tâm | kóng-îng-uē,閒談,a chat | idle talk | gossip
hân-tài,hân-tài,寒帶,the frigid zones
hân-liû,hân-liû,寒流,a cold current
hang,hang,烤 | 烘,to broil | toast | bake
hang mī-pau,hang mī-pau,烤麵包,toast bread
hang nn̄g tè mī-pau | hang nn̄g phìⁿ mī-pau,hang nn̄g tè mī-pau | hang nn̄g phìnn mī-pau,烤兩塊麵包,toast two pieces of bread
hang-lô͘,hang-lôo,烘爐,an oven
hang ti-bah,hang ti-bah,烘猪肉,roast pork
hang ke-bah,hang ke-bah,烤雞肉,roast chicken
hāng,hāng,巷,an alley | a little street
Góa tòa tī chit tiâu hang-á lāi.,,我住在這條巷內,I live up this alley.
háng,háng,恐嚇,to threaten
Háng boeh kā i phah.,,嚇著要打他,To threaten to strike him.
Háng boeh kiò kèng-chhat lâi.,,恐嚇他要呌警察來,To threaten to call the police.
Khòaⁿ-kìⁿ giōng-giōng boeh lo̍h-hō͘.,,似乎要下雨了,It threatens to rain. (Lit. It looks as if it is just about to rain).
hâng | tâu-hâng,hâng | tâu-hâng,投降,surrender (N.V.)
"Tē jī chhù sè-kài-tāi-chiàn ê kiat-kó, Ji̍t-pún bô tiâu-kiāⁿ hâng-ho̍k.",,第二次世界大戰的結果，日本無條件降服,The outcome of the second world war was an unconditional surrender of the Japanese.
hâng-ho̍k | kàng-ho̍k,hâng-ho̍k | kàng-ho̍k,降服,surrender (N.V.)
ha̍p-chhiùⁿ,ha̍p-tshiùnn,合唱,chorus | to sing as a group
Ha̍p-chhiùⁿ tio̍h-ài chhiùⁿ ū chê chiah ē hó thiaⁿ.,,合唱要唱得整齊才會好聽,"When singing in a group, you must sing in unison, then it will sound nice."
ha̍p-chhiùⁿ,ha̍p-tshiùnn,合 | 閉,to shut (book mouth)
"Chhùi ha̍p-ha̍p, m̄-thang kóng-ōe.",,合起嘴，不可講話,Shut your mouth and don’t talk!
ha̍p-lí,ha̍p-lí,合理,reasonable | rational
"Hit ê lâng kóng ê ōe, bô sím-mih ha̍p-lí.",,那個人講的話，不合情理,What he says is not very reasonable.
hāu-tiúⁿ,hāu-tiúnn,校長,principal
hāu-kang,hāu-kang,校工,school workman
hāu-iú-hōe | tông-ha̍k-hōe,hāu-iú-huē | tông-ha̍k-huē,校友會 | 同學會,alumni association
hāu-koa,hāu-kua,校歌,school song
hāu-tiâⁿ,hāu-tiânn,校庭,campus
iú-hàu,iú-hàu,孝順,respectful
put-hàu,put-hàu,不孝,disrespectful
hāu-kó,hāu-kó,効果,effect
ū hāu-kó,ū hāu-kó,有効,efficacious
bô hāu-kó,bô hāu-kó,無効,ineffective
hau-siâu | pe̍h-chhat,hau-siâu | pe̍h-tshat,說謊 | 謊話,a lie | to tell a lie
kóng hau-siâu | kóng pe̍h-chhat,kóng hau-siâu | kóng pe̍h-tshat,說謊,to tell a lie
hāu-seⁿ | hāu-siⁿ,hāu-senn | hāu-sinn,兒子,a son (Lit. waiting for his birth)
hē | khǹg,hē | khǹg,放 | 置,to put | to place
hē-thiⁿ,hē-thinn,夏天,summer
hê-á,hê-á,蝦,a lobster | shrimp
he-ku,he-ku,喘息,asthma
hêng,hîng,還,to return | to pay a debt
"Lí khiàm góa chi̍t kho͘-gîn, tang-sî chiah boeh hêng góa.",,你欠我一塊錢，何時才要還我？,"You owe me a dollar, when are you going to pay it back to me?"
hêng-lí,hîng-lí,行李,baggage
hêng,hîng,形 | 樣式,form | shape
Lí chò chit niá saⁿ chin hó hêng.,,你做這件衣服樣式很好,You had this shirt made (so that) it has a nice shape. (style)
hêng-sek,hîng-sik,形式,a form | a formality
"Hêng-sek bô iàu-kín, lāi-iông (or lōe-iông) khah iàu-kín.",,形式無關重要，要緊的是內容,"The form isn’t important, the contents are more important."
hêng-sek chú-gī,hîng-sik tsú-gī,形式主義,formalism
hêng-iông,hîng-iông,形容,to modify | quality | describe
"Ji̍t-goa̍t-thâm ê kéng-tì lōa hó, góa bē hiáu hêng-iông.",,日月潭的景色怎麼樣好，我不會形容,"The scenery at Sun Moon Lake is so nice, I don’t khow how to describe it."
hêng-iông-sû,hîng-iông-sû,形容詞,an adjective
hî | hî-á,hî | hî-á,魚,a fish
lia̍h-hî,lia̍h-hî,捉魚,to fish
lia̍h-hî--ê,lia̍h-hî--ê,漁夫,a fisherman
tiò hî,tiò hî,釣魚,to fish with a hook
bāng-hî,bāng-hî,網魚,to fish with a net
kim-hî,kim-hî,金魚,goldfish
hî-tî,hî-tî,魚池,a fish pond
hi-bōng,hi-bōng,希望,to hope
Góa hi-bōng bîn-ná-chài ē hó thiⁿ.,,我希望明天會放晴,I hope it is nice weather tomorrow.
hì,hì,戲 | 劇,a show
hì-īⁿ,hì-īnn,戲院,theater
hi-hán,hi-hán,稀罕,rare | scarce
chin hi-hán ê mi̍h,tsin hi-hán ê mi̍h,罕見的東西,rare articles | a rarity
Phêng-kó chím-má chin hi-hán.,,蘋果在現在很罕見,Apples are now very scarce.
hi-seng,hi-sing,犧牲,sacrifice (N.V.)
Iâ-so͘ hi-seng i ê seng-khu lâi kiù jîn-lūi.,,耶穌犧牲他的身軀來救人類,Jesus sacrified His body for the salvation of the human race.
Góa ūi-tio̍h kok-ka kam-goān chò hi-seng.,,我為了國家甘願犧牲自己,I am willing to make a sacrifice for my country.
hīⁿ-á,hīnn-á,耳朵,ears
chhàu-hīⁿ lâng,tshàu-hīnn lâng,聾人,deaf man
hīⁿ-khang,hīnn-khang,耳孔,an earhole
hīⁿ-sái,hīnn-sái,耳垢,ear wax
hiā,hiā,瓦,tiles
Lí ê chhù khám hiā á-sī khám tek-á.,,你的家是用瓦蓋的還是用竹子蓋的,Is your house covered with tile or with bamboo?
hia,hia,那裏,there
khì hia,khì hia,到那裡去,go there
tī hia,tī hia,在那裡,in that place
tī hia ê lâng,tī hia ê lâng,在那裡的人,the people over there
hiaⁿ-tī,hiann-tī,兄弟,brothers
hiâⁿ,hiânn,燒,to heat
"Góa boeh sé seng-khu, lí kā góa hiâⁿ sio-chúi.",,我要洗澡，你替我燒水,"I want to take a bath, you heat some hot water for me."
hiah-ni̍h,hiah-ni̍h,那麼,such | so | as...as
hiah ê,hiah ê,那些,those
hiam,hiam,辣,hot
Lí ài chia̍h hiam ê bô?,,你喜歡吃辣的嗎？,Do you like to eat hot stuff?
hiâm,hiâm,嫌,to find fault with | to blame | to object to
"Lí nā bô hiâm pháiⁿ só͘-chāi, chiah koh lâi thit-thô!",,你若不嫌這地方不好，再來玩吧！,"If you have no objections to a poor place, come back again for a visit."
hiám,hiám,險些兒,to just miss | very nearly | almost | to escape by a hair's breadth
hiám hō͘ chhia kauh tio̍h,hiám hōo tshia kauh tio̍h,險些兒被車子輾死,to just miss being run over by a car
hiám bē kì--tit,hiám bē kì--tit,差一點就忘記,to almost forget
hiám bē hù hóe-chhia,hiám bē hù hué-tshia,差一點就趕不上火車,To just miss being on times for a train
hiám hiám sí-khì,hiám hiám sí-khì,險些兒死掉,almost died.
hiàm,hiàm,喊 | 叫,to call | to tell | to order
hiàm i lâi,hiàm i lâi,喊他來,order him to some
hiàm chi̍t tâi saⁿ-lián chhia lâi,hiàm tsi̍t tâi sann-lián tshia lâi,一輛三輪車來,call a pedicab
hian,hian,翻開 | 打開,to open (as book or the lid of a box)
Chhiáⁿ lín hian tē-gō͘ phiⁿ.,,請你們翻開第五頁,Please turn to page five.
a̍p-á-kòa hian-khui lâi khòaⁿ-bāi leh.,,把箱子蓋先開來看一看,Take the cover off the box and take a look at it.
hiān-chāi,hiān-tsāi,現在,at present
hiān-chîⁿ,hiān-tsînn,現鈔,cash | ready money
hiān-kim,hiān-kim,現鈔,cash | ready money
hiān-tāi,hiān-tāi,現代,nowadays
hiān chū-chí | chū-só͘,hiān tsū-tsí | tsū-sóo,現住址 | 住所,one's present address
hiān-tiûⁿ,hiān-tiûnn,現場 | 當場,the actual pleace | then and there
"Lí nā khòaⁿ tio̍h i chò pháiⁿ, tio̍h tòa hiān-tiûⁿ kā i chù-ì.",,如果你看到他做錯，要當場給他注意,"If you see him doing evil, you should point it out to him then and there."
hián-bî-kiàⁿ,hián-bî-kiànn,顯微鏡,a microscope
hiat-tiāu,hiat-tiāu,丟掉,to throw away
hiat,hiat,丟,to throw
hiat-ap,hiat-ap,血壓,blood pressure
hiat-thóng,hiat-thóng,血統,lineage | stock
hîm,hîm,熊,a bear
him-sióng,him-sióng,欣賞,to appreciate | to take delight in | to enjoy
Lán lâi khì Bū-siā him-sióng hong-kéng.,,我們到霧社去欣賞風景,Let’s go to [Bū-siā] and enjoy the scenery.
hîn,hîn,暈,to be dizzy | one's head swims
Lí thâu-khak ē hîn bē?,,你會不會頭暈？,Is your head dizzy?
hîn-chûn,hîn-tsûn,暈船,seasickness
Lí chē chûn ê sî ē hîn (or hîn-chûn) bē?,,你會不會暈船？你會不會暈車？,"Do you get seasick, when riding in the boat?"
Lí ē hîn chhia bē?,,,Do you get car-sick?
hīn | oàn-hīn,hīn | uàn-hīn,恨,hate (N.V.)
M̄-thang oàn-hīn lâng.,,不要怨恨別人,Don’t hate others.
hih-hih-chhiò,hih-hih-tshiò,發痴笑 | 格格作笑,to giggle
Tòa sèng-tn̂g lāi m̄ thang hih-hih-chhiò.,,在聖堂內不要發痴笑,Don’t giggle in Church.
hioh-khùn,hioh-khùn,休息,to rest
hioh-joa̍h,hioh-jua̍h,暑假,to take a Summer vacation
hioh-kôaⁿ,hioh-kuânn,寒假,Winter vacation
hio̍h-á,hio̍h-á,葉子,leaves
Hiah ê chhiū-hio̍h-á sàu-sàu leh.,,把那些樹葉掃一掃,"""Sweep up the leaves from those tree. Sweep up those leaves."""
hioh,hioh,歇 | 棲息,to perch | alight
Chiáu-á hioh tī chhù-téng.,,鳥兒歇在屋頂,A bird is perched on top of the house.
hip,hip,拍照 | 拍攝,to snap a picture
hip-siòng,hip-siòng,拍照 | 照相,to take a picture
hip-siòng-ki,hip-siòng-ki,照相機,a camera
hit,hit,那,[hit] + Pr. cl. = that
hit só͘-chāi | hit ê só͘-chāi,hit sóo-tsāi | hit ê sóo-tsāi,那裏,that place
hn̄g,hn̄g,遠,far
hn̂g,hn̂g,園,garden
hoe-hn̂g,hue-hn̂g,花園,flower garden
chhài-hn̂g,tshài-hn̂g,菜園,vegetable garden
iù-tī-hn̂g,iù-tī-hn̂g,幼稚園,kindergarten
kong-hn̂g,kong-hn̂g,公園,public garden | park
sin lo̍k-hn̂g,sin lo̍k-hn̂g,新樂園,New Paradise (cigarettes)
hó,hó,好,
hó-chia̍h,hó-tsia̍h,好吃,
Tâi-oân ê ông-lâi chin hó-chia̍h.,,台灣的鳳梨很好吃,Formosan pineapples are delicious.
hó-lim,hó-lim,好喝 | 可口,
Chiah ê chíu chin hó-lim.,,這些酒很可口,This wine is very tasty.
hó-khòaⁿ,hó-khuànn,好看,
Hit chhut tiān-iáⁿ chin hó-khòaⁿ.,,那片電影很好看,That was really a good movie.
hó-chhiò,hó-tshiò,好笑,
Chit ê kò͘-sū chin hó-chhiò.,,這故事很好笑,This is a very funny story.
Hit ê lâng chin hó-chhiò.,,那個人很好笑,He is a very humorous fellow (comical).
hó-chē,hó-tsē,好坐,
Chit tè í-á chin hó-chē.,,這塊椅子坐起來很舒服,This chair is very comfortable.
hó-khùn,hó-khùn,好睡,
Chit téng bîn-chhn̂g chin hó-khùn.,,這張床睡起來很舒服,This be is very nice to sleep in.
I chin hó-khùn.,,他睡得很熟,He is resting peacefully (comfortably). He usually sleeps soundly.
hó-ēng,hó-īng,好用,
Góa chit ki bān-liân-pit chin hó-ēng (hó-siá).,,我這支鋼筆很好用（好寫）,This fountain pen of mine is very good to write with (writes very smoothly).
hó-kóng,hó-kóng,容易講,
Chit kù chin hó-kóng.,,這句很容易講,This is a nice way to say it.
hó-sé,hó-sé,好洗,
Chit khoán ê soat-bûn (tê-kho͘) chin hó-sé.,,這一種肥皂很好洗,This kind of soap is very nice for washing.
hó-peh,hó-peh,容易爬,
Chit châng chhiū-á chin hó-peh.,,這一棵樹很容易爬,This tree makes nice climbing.
hó-siá,hó-siá,好寫,
Chit khoán ê chóa chin hó-siá.,,這種紙很好寫,This is very nice paper to write on.
hó-khǹg,hó-khǹg,容易放,
"Chit ê siuⁿ-á boeh khǹg hêng-lí, chin hó-khǹg.",,這個箱子放行李很合適,This suitcase (box) is very handy for packing baggage.
hó-chài,hó-tsài,容易載,
Chit tè í-chē-á chin hó-chài gín-ná.,,這個椅墊用來載孩子（在脚踏車上）很方便,This little wicker chair is very handy for carrying a child (on a bike).
hó-lia̍h,hó-lia̍h,容易捉,
"Ah khah hó-lia̍h, ke-á khah pháiⁿ lia̍h.",,鴨子比較容易捉，雞比較難捉,"Ducks are rather easy to catch, it’s more difficult to catch chickens."
hó-chhēng,hó-tshīng,容易穿,
Chit niá saⁿ chin hó-chhēng.,,這件衣服很容易穿,This coat is very nice to wear.
hó-thiaⁿ,hó-thiann,好聽,
Chit tiâu koa chin hó-thiaⁿ.,,這支歌很好聽,This is a very sweet (melodious) song.
hó-chhiùⁿ,hó-tshiùnn,容易唱,
"Chit tiâu koa chin hó-chhiùⁿ, hit tiâu chin pháiⁿ-chhiùⁿ.",,這支歌很容易唱，那支却很難唱,"This is a very easy song to sing, that one is very difficult."
hó-tē,hó-tē,放東西很方便,
Chit ê tē-á chin hó-tē.,,這個口袋放東西很方便,This is a very nice little pocket to put things in.
hó-té,hó-té,裝東西很方便 | 或盛東西很方便,Good for holding things
Chit khoán ê thoah-á chin hó-té.,,這樣的抽屜裝東西很方便,This kind of drawer is very handy for putting things away.
Pn̄g-sî chin hó-té.,,飯匙盛飯很方便,This rice ladle holds a lot.
hó-tha̍k,hó-tha̍k,容易讀,easy to read or study
Chit pún chheh chin hó-tha̍k.,,這本書很容易讀,This book is very easy to study.
hó--bô,hó--bô,好嗎,O.K.? Is that alright? Is it good?
Seng-lí hó--bô?,,生意好嗎？,How’s business?
hó-ì,hó-ì,好意,kindness | good well | good wish
"I hó-ì boeh chhiáⁿ--lí, lí tio̍h-ài khì hō͘ i chhiáⁿ.",,他好意要請你，你得去讓他請,"He has very kindly invited you, you must go and accept the invitation."
hó-sè,hó-sè,適當 | 舒適,proper | suitable
hó-miā,hó-miā,好運氣,good fortune
"Lí chhut-sì chò ū chîⁿ lâng ê kiáⁿ, chin hó miā.",,你出生爲有錢人的兒子，運氣真好,"You have been born the son of wealthy people, you are very fortunate."
hó-gia̍h,hó-gia̍h,富裕,wealthy
hó-gia̍h-lâng,hó-gia̍h-lâng,富翁,a millionaire
hó-táⁿ,hó-tánn,有膽量,daring | courageous
"Lí ka-tī chi̍t ê káⁿ kiâⁿ àm lō͘, chin hó táⁿ.",,你敢隻身走暗路，真大膽,"You dare to travel a dark road alone, you are very courageous."
hó-chhit-thô,hó-tshit-thô,好玩,This is a barrel of fun
"Nā ū chîⁿ, Hiong-káng si̍t-chāi chin hó chhit-thô.",,假如有錢，香港實在很好玩,"If one has the money, Hong Kong is the place to go to really have a good time."
hô-pêng | hô-phêng,hô-pîng | hô-phîng,和平,peace
hô-hó,hô-hó,和好,harmonious | harmony | to be on good terms | to get along
"Lín hu-hū tio̍h khah hô-hó--lè, m̄-thang sio phah.",,你們夫婦要和好，不可打架,"You, husband and wife, must be on good terms (get along with each other), don’t fight."
hō͘,hōo,給,to give
Sin-gí tio̍h tha̍k hō͘ se̍k.,,新字要唸熟,You must study the new words until
Sàu hō͘ chheng-khì,,要掃乾浄,they are familiar. You must memorize the vocabulary.
Pa̍k hō͘ ân,,要縛得緊,to sweep clean.
I hō͘ hó,,要醫好,to tie tightly
Chhit hō͘ ta,,要擦乾,to cure
Siu hō͘ hó-sè,,要收拾好,to wipe dry
Lim hō͘ ta,,要喝乾,to put in order; to tidy up
Pûn hō͘ sit,,要吹熄,to drink dry
Sé hō͘ chheng-khì,,要洗乾浄,to blow out
Chia̍h hō͘ liáu,,要吃完,to wash clean
hō͘,hōo,雨,rain
lo̍h-hō͘,lo̍h-hōo,下雨,to rain
chin kú bô lo̍h-hō͘,tsin kú bô lo̍h-hōo,很久沒有下雨,It has not rained for a long time.
hō͘-sòaⁿ,hōo-suànn,雨傘,an umbrella
hō͘-saⁿ | hō͘-i,hōo-sann | hōo-i,雨衣,a raincost
hō͘,hōo,被,used to express the passive voice
Góa hō͘ i phah.,,我被他打,I was struck by him.
Góa bat hō͘ chôa kā-tio̍h chi̍t pái.,,我曾被蛇咬過,I was once bitten by a snake.
Cha-hng ū chi̍t ê sè-hàn gín-ná hō͘ khì-chhia kauh--tio̍h.,,昨天有一個小孩子被汽車輾倒,Yesterday a youngster was run over by a car.
hō͘,hōo,讓,"also has the meaning of ""to let"" | ""to allow"""
M̄ thang hō͘ i ji̍p--lâi.,,不要讓他進來,Don’t let him come in.
M̄ thang hō͘ i chai-iáⁿ.,,不要讓他知道,Don’t let him know.
hō͘,hōo,,to cause | to effect that | so that
"Siu-lí chit ê mi̍h-kiāⁿ, siu-lí khah kang-hu--lè, m̄-thang koh hō͘ hāi--khì.",,修理這個東西，要修理得精細些，不要再讓牠壞了,Repair this thing more carefully so that it doesn’t break again.
Chò chi̍t ê saⁿ-á-tû tú-tú hō͘ ha̍h chit ê só͘-chāi.,,做一個衣櫃要讓牠剛剛合這個地方,Make a clothes closet so that it will just fit in this space.
hō-chò,hō-tsò,叫做,called
hô͘-sîn,hôo-sîn,蒼蠅,a fly
hô͘-chio,hôo-tsio,胡椒,pepper
hō͘-sū,hōo-sū,護士,nurse (in hospital)
hó͘,hóo,虎,tiger
hó͘,hóo,騙,to cheat
M̄-thang hó͘--góa.,,不要欺騙我,Don’t cheat me.
hō͘-chiò,hōo-tsiò,護照,a passport
hô͘-chhiu,hôo-tshiu,多鬍子的,one with a shaggy beard
I chin hô͘-chhiu.,,他的臉上有很多鬍鬚,He really has a shaggy beard.
hō͘-sap-á,hōo-sap-á,細雨 | 霧雨,a light rain | a drizzle
Chang-àm ū lo̍h hō͘-sap-á.,,昨晚下了一陣細雨,Last night there was a light rain.
hòⁿ,hònn,,interrogative particle expecting affirmation
Chit ê gín-ná sī lí ê kiáⁿ--hòⁿ?,,這個孩子是你的兒子罷！,"This lad is your son, isn’t he?"
hòⁿ-sek,hònn-sik,好色,lustful | wanton
hòⁿ-kî,hònn-kî,好奇,be curious
"Lí chin hòⁿ-kî, káu teh sio kā, lí iā tio̍h cháu chhut khì khòaⁿ.",,你真好奇，狗打架你還跑出去看,"You are very curious, even if the dogs are fighting, you must run out and take a look."
hòⁿ,hònn,好 | 愛好,to like | to desire | to be fond of
hó,hó,好,good
hòa-ha̍k,huà-ha̍k,化學,Chemistry
hoa,hua,熄滅,to go out | extinguish
siau--hoa,siau--hua,使熄滅,to extinguish
"Lí nā boeh khùn, tiān-hóe tio̍h-ài siau-hoa.",,你若要睡覺，要把電燈關掉,"If you want to sleep, you must turn out the lights."
siau-hòa,siau-huà,消化,to digest
Chit khoán ê chhài chin oh siau-hòa.,,這種菜很難消化,This kind of food is very difficult to digest.
hoaⁿ-hí,huann-hí,歡喜,happy
hōaⁿ,huānn,岸 | 堤,to bank (of a river) | the shore
hôaⁿ | kôⁿ,huânn | kônn,鼾,to snore
I teh khùn ê sî chin gâu hôaⁿ (or [kôⁿ]).,,他睡覺的時候總是發鼾聲,When he is sleeping he always snores.
hōaⁿ,huānn,支住 | 抓住,To lay the hands heavily upon | to steady
"Góa (ēng o͘-thó͘-bái) kā lí chài, lí hōaⁿ tòa góa ê keng-thâu.",,我（用機器脚踏車）載你，你抓住我的肩膀,"When you ride on the back of my motorcycle, put your hands on my shoulders."
"Chit ki thiāu-á kā góa hōaⁿ--le, m̄-thang hō͘ tó--lo̍h-lâi.",,帮我支住這根柱子，不要讓它倒下來,"Steady this pole for me, don’t let it all over."
hoan-ná-hóe,huan-ná-hué,洋火 | 火柴,a box of mathes
hoan-kiuⁿ-á,huan-kiunn-á,辣椒,a pepper
hoan-gêng,huan-gîng,歡迎,to welcome
Goán chin hoan-gêng Bí-kok lâng lâi Tâi-oân.,,我們很歡迎美國人來台灣,We welcome the Americans coming to Taiwan very much.
hoân-ló,huân-ló,掛心 | 憂慮,to worry | to be anxious about
"Lí nā hoân-ló liáu kòe-thâu, lí ē khí-siáu.",,你若過於憂慮，你會發狂,你若過於憂慮，你會發狂
hoān,huān,犯,to transgress | to commit
"Hit ê lâng hoān-tio̍h hoat-lu̍t, kèng-chhat boeh lia̍h--i.",,那個人犯了法律，警察要抓他,"That fellow broke the law, the police want to arrest him."
hoān-lâng,huān-lâng,犯人 | 罪犯,a prisoner
hoán-tùi,huán-tuì,反對,to oppose
Lí m̄-thang bô lí-iû o͘-pe̍h hoán-tùi.,,你不可以無理由地亂加反對,You should not unreasonably and indiscriminately oppose.
tùi-hoán,tuì-huán,相反,opposite
Góa ê siūⁿ-hoat kap lí tùi-hoán.,,我的想法和你相反,Your thinking is just the opposite of mine.
hoân,huân,明礬,alum | burnt alum
hoan-e̍k | e̍k,huan-i̍k | i̍k,翻譯,to translate | translation | to interpret
hoan-gêng-hōe,huan-gîng-huē,歡迎會,a welcome party (dinner) | a reception
hoan-gêng-mn̂g,huan-gîng-mn̂g,歡迎門,a welcome arch
hoan-sin,huan-sin,翻身,to turn over in sleep (bed)
"Lí cha-hng chiah chhiú-su̍t, kin-ná-ji̍t iáu m̄ thang hoan-sin.",,你昨天剛開刀，今天還不能翻身,"You were just operated on yesterday, you should still not turn over in bed today."
hoān-chiá,huān-tsiá,患者,a patient
hoān-ûi,huān-uî,範圍,a sphere | scope | extent
Khó-chhì ê hoān-ûi sī tē it khò kàu tē káu khò.,,考試範圍是從第一課到第九課,The extent of the examination will be from lesson one to lesson nine.
hoan-ná-iû | chúi-iû | chio̍h-iû,huan-ná-iû | tsuí-iû | tsio̍h-iû,煤油,kerosene
hoan-hù,huan-hù,吩咐,to leave word | give message | to ask to do | to order | to instruct
"Lí nā tú--tio̍h--i, hoan-hù i lâi--lè.",,你若遇到他，吩咐他來一下,"If you meet him, order (tell) him to come."
hoat-tián,huat-tián,發展,to prosper | to flourish
hoa̍t,hua̍t,罰,to punish
Lí hō͘ sian-siⁿ hoa̍t khiā lōa kú?,,你被老師罰站多久？,You were punished by the teacher to stand for how long a time?
hoat-im,huat-im,發音,to pronounce | pronunciation
hoat-khí,huat-khí,發起,to start | to organize
"Boeh hoat-khí chi̍t hāng tāi-chì, m̄-sī chin iông-ī.",,要發起一件事，不是很容易的,It is not very easy to get an affair going. (to get a matter organized.)
hoat-lu̍t,huat-lu̍t,法律,the law
hoat,huat,,to produce | to begin | to grow | to sprout | to pay out | to start | to rise (as bread or cake)
"Chit châng chhiū-á chèng iáu-bōe chi̍t nî, hoat chiah tōa châng.",,這株樹種不到一年，長得這麽大。,This tree has not been planted a year yet and it has grown so big.
hoat-tō͘,huat-tōo,方法,method or plan
bô hoat-tō͘,bô huat-tōo,沒法子,there is no way out
hoat hún,huat hún,發粉,baking powder
hoat-ta̍t,huat-ta̍t,發達,to prosper | to develop
hoat-châi,huat-tsâi,發財,to become wealthy
hoat-sio | hoat-jia̍t,huat-sio | huat-jia̍t,發熱,have an attack of fever
hoat-bêng,huat-bîng,發明,invention | to invent
Goân-chú tân sī sím-mih lâng hoat-bêng--ê?,,原子彈是誰發明的？,Who invented the atomic bomb?
hoat-īⁿ | hoat-têng,huat-īnn | huat-tîng,法院 | 法庭,a court | a court of justice
hoat-kiàn,huat-kiàn,發見,discovery | to discover | to find out
Chím-má ê Bí-kok sī sím-mih lâng hoat-kiàn--ê?,,現在的美國是誰發見的？,Who discovered what in now America?
hoat-piáu,huat-piáu,發表,to announce | publication
Hāu-tiúⁿ hoat-piáu āu--ji̍t khí boeh hòng-ká nn̄g lé-pài.,,校長發表後天起將放假兩星期,The principal announced that from the day after tomorrow on there will be two weeks of vacation.
hoat-seng,huat-sing,發生,to break out | to happen
Cha-hng ū hoat-seng kau-thong sū-kò͘.,,昨天發生了交通事故,Yesterday an accident happened.
hoat-hêng | khan,huat-hîng | khan,發行 | 發刊,to publish | issue
Chit pún cha̍p-chì sī tī Bí-kok hoat-khan (hoat-hêng)--ê.,,這本雜誌是在美國發刋（發行）的,This magazine is published in America.
hoat-tiâu,huat-tiâu,發條,"a spring (of a watch, a clockwork toy or a sofa)"
Chit ê sî-pió hoat-tiâu tn̄g--khì.,,這個錶的發條斷了,The spring in this watch is broken.
hòe,huè,歲,a year of life
hóe-ke,hué-ke,火雞,a turkey
hóe-chhia,hué-tshia,火車,a train
hóe-chhia-thâu,hué-tshia-thâu,火車站,a train station
hòe-bu̍t,huè-bu̍t,貨物,merchandise
chài hòe-bu̍t,tsài huè-bu̍t,載貨物,to load on merchandise (e.g. on a truck)
hoe,hue,花,a cut flower
chi̍t châng hoe,tsi̍t tsâng hue,一株花,a flower (plant)
hoe-phûn,hue-phûn,花盆,a flower pot (usually for orchids) not made from clay
hoe-kha,hue-kha,花盆,flower pot
hoe-kan,hue-kan,花瓶,flower vase
hoe-hn̂g,hue-hn̂g,花園,flower garden
hoe-m̂,hue-m̂,花蕾,(flower) bud
hōe,huē,會,a meeting | a society
khui-hoe,khui-hue,開會,to hold a meeting
khai-hōe,khai-huē,開會,to hold a meeting
hōe-oân,huē-uân,會員,a member of a society
hōe-tiûⁿ,huē-tiûnn,會場,an assembly hall | a meeting place
hōe-tiúⁿ,huē-tiúnn,會長,the president of a society
hōe-gī,huē-gī,會議,a conference | a congress
hōe-hùi,huē-huì,會費,membership fee
hōe-kè | kòe-kè,huē-kè | kuè-kè,會計,a paymaster | a treasurer | a procurator | the theory of accounting
Be̍k sîn-hū teh chò hōe-kè (or kòe-kè).,,墨神父當會計,Father McCabe is the procurator.
hòe-pè,huè-pè,貨幣,monetary system
hōe-toaⁿ | hōe-phiò,huē-tuann | huē-phiò,滙單 | 滙票,a bill of exchange | money order
I ēng hōe-toaⁿ (hōe-phiò) kià chîⁿ lâi hō͘--góa.,,他用滙票送錢給我,He used a money order to send money to me.
hòe-bût-chhia,huè-bût-tshia,貨物車,trucks | freight train
hóe,hué,火,fire
khí hóe,khí hué,起火,to start a fire
tiān-hóe,tiān-hué,電燈,electric light
hóe sio chhù,hué sio tshù,火災 | 火警,house on fire
hóe-hu,hué-hu,灰,ashes
hóe-chi̍h,hué-tsi̍h,火焰,a flame | a blaze
hóe-sái | hóe-chhiⁿ,hué-sái | hué-tshinn,火星 | 火花,(flying) sparks
hôe,huê,回 | 信,to answer (a letter)
"Lâng nā siá phoe hō͘--lí, lí tio̍h-ài kóaⁿ-kín kā i hôe.",,人家如果寫信給你，你就要趕快囘他,"If people write you a letter, you must answer promptly."
hóe-iû | thô͘-tāu-iû | hoa-seng-iû,hué-iû | thôo-tāu-iû | hua-sing-iû,花生油,peanut oil
hóe-thòaⁿ,hué-thuànn,木炭,charcoal
hoe,hue,石灰,lime
boah hoe,buah hue,塗以灰泥,to plaster (a wall) with lime
