wuu-Hant-x-taiz1238,x-emoji,en-US,x-image,nan-Hant-x-chao1239,ral,swh,wuu-x-ouji1238,zh-Hans-CN,zh-Hant-TW,zyg-x-yang1286
,,,,經心,,,,用心,用心,
,,,,人面生疏,,,,没有熟人,沒有熟人,
,🏥,,,醫院,,,,医院,病院,
,,,,水龍水,,,,自来水,,
,,,,墘頭,,,,边缘,,
,,,,刣 | 宰,,,,宰,殺,
,,,,我,,,,我,我,
,,,,伊,,,,他 | 它 | 她,,
,,,,恁,,,,你们,,
,,,,我个,,,,我的,,
,,,,汝个,,,,你的,,
,,,,伊个,,,,他的 | 她的 | 它的,,
,🏠,,,厝,,,,房子 | 家,,
,,,,厝邊,,,,邻居,,
,,,,睇,,,,看,,
,,,,呾,,,,说 | 讲,,
,,,,食,,,,吃,,
,🍚,,,飯,,,,饭,,
,,,,米,,,,米,,
,,,,糜,,,,粥,,
,,,,飲,,,,米汤,,
,🥘,,,配,,,,菜,,
,🥢,,,箸,,,,筷子,,
,👔,,,衫褲,,,,衣服,,
,,,,坐,,,,坐,,
,🚶‍➡️,,,行,,,,走,,
,🏃,,,走,,,,跑,,
,,,,行路,,,,走路,,
,,,,走路,,,,跑路,,
,,,,有,,,,有,,
,,,,無 | 未,,,,没有,,
,,,,愛 | 卜,,,,要,,
,,,,唔 | 毋 | 無愛 | 勿,,,,不要,,
,,,,會,,,,会,,
,,,,無會 | 袂 | 𠀾,,,,不会,,
,,,,好,,,,好,,
,,,,孬 | 毋好,,,,不好,,
,,,,卜毋,,,,要不要,,
,,,,用,,,,需要,,
,,,,免,,,,不用 | 不需要,,
,,,,肯,,,,肯 | 愿意,,
,,,,毋肯,,,,不肯 | 不愿意,,
,,,,架勢是,,,,看起来,,
,,,,〇,,,,〇,,
,,,,一,,,,一,,
,,,,二,,,,二,,
,,,,三,,,,三,,
,,,,四,,,,四,,
,,,,五,,,,五,,
,,,,六,,,,六,,
,,,,七,,,,七,,
,,,,八,,,,八,,
,,,,九,,,,九,,
,,,,十,,,,十,,
,,,,只 | 者 | 此,,,,这,,
,,,,彼 | 许,,,,那,,
,,,,乜个,,,,什么,,
,,,,底個,,,,哪个,,
,,,,此個,,,,这个,,
,,,,彼個,,,,那个,,
,,,,怎樣生 | 怎樣 | 怎生,,,,怎样,,
,,,,底樣 | 乜樣,,,,什么样,,
,,,,天,,,,天,,
,,,,地,,,,地,,
,,,,父,,,,父 | 父亲,,
,,,,怎樣呢,,,,干啥呢 | 干啥,,
,,,,怎樣麼,,,,怎么了,,
,,,,此樣,,,,这样,,
,,,,彼樣,,,,那样,,
,,,,此樣生,,,,这样子,,
,,,,彼樣生,,,,那样子,,
,,,,此搭地方 | 此搭 | 此地方,,,,这里,,
,,,,彼搭 | 彼地方,,,,那里,,
,,,,底囝,,,,哪儿,,
,,,,此囝,,,,这儿,,
,,,,彼囝,,,,那儿,,
,,,,底人,,,,什么人 | 谁,,
,,,,底位,,,,哪位,,
,,,,此位,,,,这位,,
,,,,彼位,,,,那位,,
,,,,底時 | 底當時,,,,什么时候,,
,,,,此時,,,,这时,,
,,,,彼時陣 | 彼時,,,,那时 | 那时候,,
,,,,乜事,,,,什么事,,
,,,,幾 | 㩼少 | 若㩼 | 加減,,,,多少 | 几,,
,,,,豈是 | 是毋是 | 敢是,,,,是不是 | 是否是,,
,,,,家己,,,,自己,,
,,,,人家,,,,别人,,
,👨,,,諸夫,,,,男,,
,👩,,,諸母,,,,女,,
,,,,姿娘 | 諸娘,,,,女子,,
,,,,大人,,,,成人,,
,🧓,,,老人,,,,老人,,
,🧒,,,孥囝,,,,小孩子,,
,👦,,,諸夫囝,,,,男孩子 | 儿子,,
,👧,,,諸母囝,,,,女儿 | 女孩子,,
,,,,姿娘仔 | 諸娘囝,,,,年轻女子,,
,👴,,,阿公,,,,爷爷,,
,👵,,,阿媽,,,,奶奶,,
,,,,媽人,,,,妇人,,
,,,,老政府 | 爸爸,,,,爸爸,,
,,,,父母,,,,父母,,
,,,,兄,,,,哥哥,,
,,,,弟,,,,弟弟,,
,,,,姐,,,,姐姐,,
,,,,妹,,,,妹妹,,
,,,,姊妹,,,,姐妹,,
,,,,叔伯兄弟,,,,堂兄弟,,
,,,,同沿,,,,同辈,,
,,,,翁,,,,老公 | 丈夫,丈夫,
,,,,𡚸,,,,老婆 | 妻子,,
,,,,翁姐,,,,夫妻,,
,,,,新婦,,,,媳妇,,
,,,,大家,,,,家婆 | 婆婆,,
,,,,大家官,,,,家公 | 公公,,
,,,,丈人,,,,岳父,,
,,,,丈母,,,,岳母,,
,,,,妻舅,,,,舅子 | 妻舅,,
,,,,妻姨,,,,姨子,,
,,,,伯,,,,伯伯,,
,,,,姆,,,,伯母,,
,,,,叔,,,,叔叔,,
,,,,嬸,,,,婶婶,,
,,,,舅,,,,舅舅,,
,,,,妗,,,,舅妈 | 舅母,,
,,,,姑,,,,姑姑,,
,,,,姑丈,,,,姑父,,
,,,,姨,,,,姨母 | 姨妈,,
,,,,姨丈,,,,姨父,,
,🧑‍🏫,,,先生,,,,老师,老師,
,🧑‍🎓,,,學生,,,,学生,,
,👨‍🔧,,,司阜,,,,工匠师傅,,
,👨‍🦲,,,和尚 | 師父,,,,师父 | 和尚,,
,,,,腳色,,,,帮手 | 人手,,
,👩‍🦯‍➡️,,,青暝囝,,,,瞎子,,
,,,,頭毛,,,,头发,,
,,,,頭神,,,,精神,,
,,,,頭碗骨,,,,头盖骨,,
,,,,旋,,,,旋儿 | 发旋,,
,,,,囟,,,,囟门 | 天灵盖,,
,,,,額頭,,,,额头,,
,,,,面,,,,脸,,
,,,,頰溝,,,,脸颊,,
,,,,痣,,,,痣,,
,👀,,,目,,,,眼睛,,
,,,,目仁,,,,眼珠子 | 眼珠,,
,💧,,,目汁,,,,眼泪,,
,,,,眉,,,,眉毛,,
,👂,,,耳,,,,耳朵,,
,,,,耳空,,,,耳孔,,
,,,,鼻空,,,,鼻孔,,
,👄,,,喙,,,,嘴巴,,
,,,,䶕牙,,,,龅牙,,
,,,,涎,,,,唾液,,
,,,,痰,,,,痰,,
,,,,頷,,,,脖子,,
,,,,下頦,,,,下巴,,
,,,,喙後肚,,,,腮帮子,,
,🧔,,,鬚,,,,胡须,,
,,,,嚨喉,,,,喉咙,,
,👋,,,手,,,,手,,
,,,,正手,,,,右手,,
,,,,倒手,,,,左手,,
,,,,胳囊跤,,,,腋下,,
,,,,手後曲,,,,手肘,,
,🫆,,,手模,,,,手印,,
,,,,腡,,,,螺,,
,👍,,,指頭公,,,,大拇指,,
,,,,尾指囝,,,,小指 | 小指头 | 小拇指,,
,,,,胸,,,,胸,,
,,,,奶 | 嬭,,,,奶子,,
,,,,𩩍篱,,,,肋骨,,
,,,,肚臍,,,,肚脐,,
,,,,背脊,,,,后背 | 脊背,,
,,,,腰,,,,腰,,
,🦵,,,跤 | 骹,,,,脚,,
,,,,跤頭趺,,,,膝盖,,
,,,,大跤腿,,,,大腿,,
,,,,跤腸肚,,,,小腿肚,,
,,,,跤後蹬,,,,脚后跟,,
,,,,跤盤,,,,脚背 | 脚面,,
,,,,跤目,,,,脚踝,,
,,,,跤指公,,,,大脚趾,,
,,,,跤液,,,,脚汗,,
,,,,卵 | 卵鳥,,,,阴茎 | 屌,,
,,,,卵脬,,,,阴囊,,
,,,,卵核,,,,睾丸,,
,,,,膣,,,,阴道,,
,,,,膣眉,,,,阴唇,,
,,,,尻川,,,,屁股,,
,,,,雞母皮,,,,鸡皮疙瘩,,
,,,,汗,,,,汗 | 汗水,,
,,,,垢圿,,,,污垢,,
,🧑‍⚕️,,,先生,,,,医生,醫生,
蹩脚 | 跛脚,,,,,,,,,跛足 | 跛足,
鵓鴿 | 舶鴿,,,,,,,,,鴿子,
,,,,母,,,,母亲 | 母,,
,,,,lau | 綴,,,,跟随 | 跟,,
,,,,咱 | 俺 | 阮,,,,我们,,
,,,,平樣,,,,一样,,
,,,,所在,,,,地方,,
,,,,厝內,,,,家里,,
,,,,咬,,,,咬,,
,,,,哺,,,,咀嚼,,
,,,,吞,,,,吞,,
,,,,舐,,,,舔,,
,,,,含,,,,含,,
,,,,啜,,,,喝,,
,,,,啉,,,,小口喝,,
,,,,灌,,,,灌 | 大口喝,,
,,,,吸,,,,吸,,
,,,,搵,,,,蘸,,
,,,,買鹹,,,,买菜,,
,,,,食透早 | 食眠起,,,,吃早饭,,
,,,,食晝 | 食當晝,,,,吃午餐 | 吃午饭,,
,,,,食夜昏 | 食暝昏,,,,吃晚饭,,
,,,,菜式,,,,菜品,,
,,,,粿 | 餜,,,,粿,,
,🍡,,,丸 | 圓,,,,丸子,,
,,,,汰米,,,,淘米,,
,,,,熬,,,,熬,,
,,,,潘,,,,馊水,,
,,,,油,,,,油,,
,,,,鹽,,,,盐,,
,,,,醋,,,,醋,,
,,,,豆汁 | 豉油,,,,酱油,,
,🥚,,,雞卵,,,,鸡蛋,,
,,,,豬肉,,,,猪肉,,
,,,,澀肉,,,,瘦肉,,
,,,,肉脞,,,,肉末,,
,,,,烏糖,,,,黑糖 | 红糖,,
,🚬,,,薰,,,,香烟 | 烟,,
,🍵,,,茶,,,,茶,,
,🍷,,,酒,,,,酒,,
,,,,淖 | 黐黐,,,,黏稠,,
,,,,凊 | 涼,,,,凉,,
,,,,燒 | 熱,,,,热,,
,,,,燒烘燒烘,,,,热乎乎,,
,,,,芳,,,,香,,
,,,,甜 | 甘,,,,甜,,
,,,,我佮汝,,,,我和你,,
,,,,煲,,,,煲,,
,,,,鹹,,,,咸,,
,,,,薟,,,,辣,,
,,,,䭕,,,,清淡,,
,,,,臊,,,,腥,,
,,,,臭,,,,臭,,
,🎩,,,帽,,,,帽子,,
,👓,,,目鏡,,,,眼镜,,
,🧣,,,圍巾 | 頷圍,,,,围巾,,
,,,,頷幔,,,,披肩,,
,🤵,,,西裝,,,,西装,,
,🧥,,,褸,,,,大衣,,
,,,,葵笠,,,,斗笠,,
,,,,羊毛 | 羊毛衫,,,,毛衣 | 羊毛衫,,
,,,,長䘼衫,,,,长袖上衣,,
,,,,短䘼衫,,,,短袖上衣,,
,,,,貼身衫 | 底衫,,,,内衣,,
,🎽,,,䘥仔 | 䘥囝,,,,背心,,
,,,,肚綰,,,,肚兜,,
,👖,,,長褲,,,,长裤,,
,🩳,,,短褲,,,,短裤,,
,🩲,,,褲橛 | 褲頭,,,,内裤,,
,🩲,,,三角褲,,,,三角裤,,
,👗,,,裙,,,,裙子,,
,,,,圍裙,,,,围裙,,
,,,,奶帕 | 文胸,,,,胸罩,,
,,,,皮帶,,,,腰带,,
,,,,手囊,,,,袖套,,
,👟,,,波鞋,,,,球鞋,,
,,,,釘鞋,,,,钉鞋,,
,👞,,,皮鞋,,,,皮鞋,,
,👠,,,高跟鞋,,,,高跟鞋,,
,👢,,,靴,,,,靴子,,
,🧦,,,襪,,,,袜子,,
,,,,布,,,,布,,
,,,,襊,,,,折痕,,
,,,,頷領,,,,领子,,
,,,,褲袋 | 衫袋,,,,口袋,,
,,,,暗袋,,,,暗袋,,
,,,,鈕,,,,纽扣 | 扣子,,
,🪡,,,針,,,,针,,
,🧵,,,線,,,,线,,
,,,,拉鍊,,,,拉链,,
,,,,穿,,,,穿,,
,,,,褪,,,,脱,,
,,,,紩,,,,缝,,
,,,,補,,,,补,,
,,,,車衫褲,,,,用缝纫机缝衣服,,
,🛏️,,,鋪 | 眠牀,,,,床 | 床铺,,
,,,,高低牀 | 上下鋪,,,,上下铺 | 高低床,,
,,,,翁,,,,翁,,
,,,,唔是 | 毋是,,,,不是,,
,,,,个,,,,的,,
,,,,儂 | 人,,,,人,,
,,,,今年,,,,今年,,
,,,,舊年,,,,去年,,
,,,,前年,,,,前年,,
,,,,下年,,,,明年,,
,,,,春夏秋冬,,,,春夏秋冬,,
,,,,老歷 | 農曆,,,,农历,,
,,,,新曆,,,,公历,,
,,,,今旦日 | 今日,,,,今天,,
,,,,明眠起 | 明日 | 明旦日,,,,明天,,
,,,,昨日,,,,昨天,,
,,,,前日,,,,前天,,
,,,,後日,,,,后天,,
,,,,大前日,,,,大前天,,
,,,,大後日,,,,大后天,,
,🌅,,,天光,,,,天亮,,
,,,,透早,,,,黎明,,
,,,,眠起,,,,早晨,,
,,,,早晝,,,,上午,,
,,,,中晝 | 中晝時,,,,中午,,
,,,,下晝 | 下旰,,,,下午,,
,🌇,,,暗頭時 | 暗頭,,,,傍晚,,
,🌃,,,下昏時 | 夜時 | 夜昏 | 暝時 | 暗時 | 夜昏時 | 夜昏囝 | 下昏囝 | 下昏 | 暝昏時 | 暝昏 | 暝昏囝,,,,晚上,,
,,,,半暝 | 半夜,,,,半夜,,
,,,,時分秒,,,,时分秒,,
,,,,個字,,,,五分钟,,
,,,,兩個字久,,,,十分钟,,
,,,,頭前,,,,之前,,
,,,,頭下 | 頭陣,,,,刚刚 | 刚才,,
,,,,一頃 | 一頃頭,,,,一下子 | 一会儿,,
,,,,煞尾,,,,最后,,
,,,,逐日,,,,每天,,
,,,,逐暝 | 逐夜,,,,每晚,,
,,,,通日,,,,整天,,
,,,,半日,,,,半天,,
,,,,隔日,,,,隔天,,
,,,,隔夜 | 隔暝,,,,隔夜,,
,,,,別日,,,,改天,,
,,,,即時 | 馬上,,,,马上 | 立刻,,
,,,,平常時 | 平時,,,,平时,,
,,,,一日通通,,,,一整天,,
,,,,七早蒙流 | 七早八早,,,,一大早,,
,,,,烏暗天地,,,,天昏地暗,,
,,,,冬節 | 冬至,,,,冬至,,
,,,,五月節,,,,端午节,,
,,,,七月半,,,,鬼节 | 中元节,,
,,,,八月半,,,,中秋节,,
,,,,廿九夜,,,,除夕,,
,,,,做節,,,,过节,,
,,,,做壽,,,,祝寿,,
,🎂,,,做生日,,,,过生日,,
,,,,拜祖,,,,祭拜先祖,,
,,,,拜老爺,,,,拜神,,
,,,,公忌,,,,先祖忌日,,
,,,,假日,,,,假日,,
,,,,放假,,,,放假,,
,,,,暑假,,,,暑假,,
,,,,寒假,,,,寒假,,
,☀️,,,出日,,,,出太阳,,
,,,,透堂白日,,,,大白天,,
,☁️,,,烏陰天,,,,阴天,,
,💨,,,透風,,,,刮风,,
,🌀,,,風颱,,,,台风,,
,,,,南風天,,,,回南天 | 南风天,,
,,,,透南風,,,,刮南风,,
,🌫️,,,蒙煙天,,,,雾霾天,,
,🌩️,,,爍焰,,,,闪电,,
,⛈️,,,敲雷,,,,打雷,,
,🌨️,,,落雪,,,,下雪,,
,,,,落雹,,,,下冰雹,,
,,,,旱,,,,干旱,,
,🥶,,,冷 | 凝 | 寒,,,,寒冷,,
,🥵,,,翕熱,,,,闷热,,
,,,,灱 | 乾燥,,,,干燥,,
,,,,㴷 | 濕,,,,湿润,,
,,,,蓆,,,,席,,
,,,,簟,,,,竹席,,
,,,,毡,,,,毛毯,,
,,,,棉被,,,,棉被,,
,,,,被單,,,,被单,,
,,,,枕頭,,,,枕头,,
,,,,枕頭囊,,,,枕套,,
,,,,蠓罩 | 蚊罩,,,,蚊帐,,
,,,,蠓熏 | 蚊熏,,,,蚊香,,
,,,,壁櫥,,,,壁橱,,
,🪑,,,椅,,,,椅子,,
,,,,桌,,,,桌子,,
,,,,櫃,,,,柜子,,
,,,,架,,,,架子,,
,🗃️,,,盒,,,,盒子,,
,🧺,,,籃,,,,篮子,,
,🫙,,,瓶,,,,瓶子,,
,,,,鎖頭,,,,锁头,,
,🔑,,,鎖匙,,,,钥匙,,
,,,,葉疊,,,,合叶,,
,,,,牙簽,,,,牙签,,
,,,,茶盤,,,,茶盘,,
,,,,沖罐 | 茶壺,,,,茶壶,,
,,,,茶杯,,,,茶杯,,
,,,,茶几,,,,茶几,,
,,,,熏咬,,,,烟斗,,
,,,,熏碟,,,,烟灰缸,,
,,,,熱壺,,,,热水瓶,,
,,,,熨斗,,,,熨斗,,
,💡,,,電燈,,,,电灯,,
,,,,電泡,,,,电灯泡 | 灯泡,,
,🏮,,,燈籠,,,,灯笼,,
,,,,燈火,,,,灯火,,
,🪁,,,風箏,,,,风筝,,
,,,,米甕,,,,米缸,,
,,,,跤桶,,,,洗脚桶 | 洗衣盆,,
,,,,面盆,,,,脸盆,,
,,,,瓠桸,,,,水瓢,,
,,,,口㼦,,,,漱口杯,,
,,,,碗,,,,碗,,
,,,,盤,,,,盘子,,
,,,,碟,,,,碟子,,
,,,,甌,,,,大碗,,
,,,,湯匙 | 糜匙,,,,汤勺,,
,,,,飯匙 | 飯添,,,,饭勺,,
,,,,鼎,,,,锅,,
,,,,鼎㧕,,,,锅铲,,
,,,,鼎蓋,,,,锅盖,,
,🔪,,,菜刀,,,,菜刀,,
,,,,瓜刨,,,,削皮刀,,
,,,,砧,,,,砧板,,
,,,,篩,,,,筛子,,
,,,,菜篩,,,,沥水篮 | 洗菜筛,,
,✂️,,,鉸刀,,,,剪刀,,
,🪛,,,螺絲批,,,,螺丝刀,,
,🔩,,,螺絲釘,,,,螺丝钉,,
,,,,旋螺絲,,,,拧螺丝,,
,🔨,,,鐵錘,,,,铁锤,,
,,,,鉸夾,,,,钳子,,
,🔧,,,扳手,,,,扳手,,
,☀️,,,晴,,,,,,
,🌦️,,,日頭雨,,,,太阳雨,,
,,,,電筆,,,,测电笔,,
,,,,烏膠布,,,,电工胶带,,
,,,,黏紙,,,,透明胶带,,
,,,,布拖,,,,拖把,,
,🧹,,,掃帚,,,,扫把,,
,,,https://images.langmap.io/17704a10-6457-4c3f-be9d-3ed43a5fc7f2.webp,畚箕,,,,畚箕,,
,🪜,,,梯,,,,梯子,,
,🧲,,,吸石,,,,磁铁,,
,,,,角畢,,,,皮箱,,
,,,,樹嬭,,,,橡皮,,
,,,,嬭漱,,,,橡皮擦,,
,,,,毛筆,,,,毛笔,,
,✒️,,,鋼筆,,,,钢笔,,
,✏️,,,鉛筆,,,,铅笔,,
,,,,鉛筆旋,,,,笔刨 | 卷笔刀,,
,,,,模,,,,模子,,
,,,,離衣機,,,,洗衣机,,
,,,,瓦厝,,,,瓦舍,,
,,,,起厝,,,,盖房子,,
,,,,租厝,,,,租房子,,
,,,,手鐲,,,,手镯,,
,,,,內裏,,,,里衬 | 里子,,
,😷,,,口罩,,,,口罩,,
,,,,窗罩,,,,防盗网 | 防盗窗,,
,,,,筅,,,,刷子,,
,,,,箠,,,,藤条 | 竹藤,,
,,,,火箠,,,,火筷子,,
,,,,搬厝,,,,搬家,,
,,,,入新厝,,,,进入新家,,
,🛋️,,,客廳,,,,客厅,,
,,,,客房,,,,客房,,
,,,,廚房,,,,厨房,,
,,,,洗浴,,,,洗澡,,
,🚽,,,廁所,,,,厕所,,
,,,,門窗,,,,门窗,,
,,,,門閂,,,,门栓 | 门闩,,
,,,,門楣,,,,门楣,,
,,,,門橂,,,,门槛,,
,,,,門扇後,,,,门后,,
,,,,柱,,,,柱子,,
,,,,牆壁,,,,墙壁,,
,,,,埕,,,,庭院,,
,,,,塗角,,,,土砖,,
,🧱,,,磚,,,,砖,,
,⛩️,,,廟,,,,庙,,
,,,,庵寺,,,,佛寺,,
,,,,鎮府,,,,镇政府,,
,,,,舖囝,,,,小卖部,,
,🏍️,,,摩托,,,,摩托车,,
,🛺,,,三輪車,,,,三轮车,,
,🚘,,,小車,,,,小车 | 小汽车,,
,,,,汝食饱未,,,,你吃饱了没,,
,,,,去亞,,,,去到,,
,,,,來,,,,来,,
,,,,去,,,,去,,
,,,,汝愛去底塊,,,,你要去哪里,,
,,,,多謝 | 㩼謝,,,,多谢,,
,,,,寬行,,,,慢走,,
,,,,寬駛,,,,开车慢点,,
,,,,毋知頭,,,,不是故意的,,
,👋,,,先此樣呾,,,,回头再聊,,
,🙋,,,相借問,,,,打招呼,,
,,,,時節,,,,时节,,
,,,,稱呼,,,,称呼,,
,,,,身體,,,,身体,,
,,,,穿戴,,,,穿戴,,
,,,,物件,,,,东西,,
,,,,建築,,,,建筑,,
,,,,眾生,,,,牲畜,,
,,,,水產,,,,水产,,
,🥬,,,蔬菜,,,,蔬菜,,
,🌿,,,草藥,,,,草药,,
,,,,天文,,,,天文,,
,,,,地理,,,,地理,,
,,,,計量,,,,计量,,
,,,,動詞,,,,动词,,
,,,,形容,,,,形容,,
,,,,副詞,,,,副词,,
,,,,象聲詞,,,,拟声词,,
,,,,娛樂,,,,娱乐,,
,,,,好話,,,,吉祥话 | 好话,,
,,,,粗話,,,,粗话 | 粗口,,
,,,,俗話,,,,俗话,,
,,,,歇後語 | 後句話,,,,歇后语,,
,,,,神明,,,,神明,,
,,,,風俗,,,,风俗,,
,,,,姓氏,,,,姓氏,,
,,,,亭,,,,亭子,,
,,,,祠堂,,,,祠堂,,
,🚐,,,麵包車,,,,面包车,,
,,,,大巴,,,,大巴,,
,🚉,,,車站,,,,车站,,
,🚢,,,輪船,,,,轮船,,
,,,,龍船,,,,龙舟,,
,🚆,,,火車,,,,火车,,
,🚄,,,高鐵,,,,高铁,,
,✈️,,,飛機,,,,飞机,,
,🚴,,,踏腳車,,,,骑自行车,,
,,,,駛車,,,,开车,,
,,,,撐船,,,,撑船,,
,,,,載客,,,,载客,,
,,,,拗䘥囝,,,,摩托车载客,,
,,,,落車,,,,下车,,
,,,,碼頭,,,,码头,,
,,,,涵空 | 涵孔,,,,地下管道口,,
,,,,橋墩,,,,桥墩,,
,,,,禽獸,,,,禽兽,,
,,,,害蟲,,,,害虫,,
,,,,豬豭,,,,配种公猪,,
,,,,豬槽,,,,猪槽,,
,,,,羊牢,,,,羊圈,,
,🐓,,,雞翁,,,,公鸡 | 雄鸡,,
,,,,雞母,,,,母鸡,,
,🪿,,,鵝,,,,鹅,,
,,,,貓牯,,,,母猫,,
,🐦,,,鳥,,,,鸟儿,,
,,,,燕囝,,,,小燕子,,
,,,,鶴,,,,鹤,,
,🦅,,,鷹,,,,鹰,,
,🕊️,,,白鴿,,,,白鸽,,
,,,,白鷺鷥,,,,白鹭,,
,🦜,,,鸚哥,,,,鹦鹉,,
,,,,麻雀,,,,麻雀,,
,🐍,,,蛇,,,,蛇,,
,,,,狗母蛇,,,,草蜥,,
,,,,兩棲動物,,,,两栖动物,,
,🐸,,,蛤虯,,,,青蛙,,
,,,,蛤蛙,,,,蝌蚪,,
,🐜,,,蚼蟻,,,,蚂蚁,,
,,,,白蟻,,,,白蚁,,
,🐝,,,蜜蜂,,,,蜜蜂,,
,,,,虎頭蜂,,,,黃蜂,,
,🐞,,,龜,,,,甲虫,,
,🐢,,,龜,,,,乌龟,烏龜,
,🪲,,https://images.langmap.io/b1a5213d-c33f-4d5c-9e7e-8c1976aedad2.webp,金龜,,,,金龟子,,
,,,,鱉,,,,鳖,,
,🪱,,,土蚓,,,,蚯蚓,,
,,,,蜈蚣,,,,蜈蚣,,
,,,,火金蛄,,,,萤火虫,,
,,,,牛屎龜,,,,屎壳郎,,
,,,,烏點龜,,,,七星瓢虫,,
,,,https://images.langmap.io/535b5deb-3cd3-4fcb-8cce-2394a1becc9c.webp,紅新娘,,,,红姬缘椿象,,
,,,https://images.langmap.io/d1b059a2-8d31-425b-9012-412c63a7873d.webp,山蛚,,,,蝉,,
,🦗,,,蟋蟀 | 烏龍,,,,蟋蟀,,
,,,,螳蜋 | 草猴 | 螳螂,,,,螳螂,,
,,,,神螂,,,,壁虎 | 🦎,,
,,,,蛤蚧蛇,,,,大壁虎,,
,,,,土猴,,,,蝼蛄,,
,🦋,,,蝶,,,,蝴蝶,,
,,,,山螟,,,,蜻蜓,,
,,,,米龜,,,,米象,,
,,,,蛀蟲,,,,蛀虫,,
,🐛,,,蛓毛蟲,,,,毛毛虫,,
,🐌,,,流鼻螺,,,,蜗牛,,
,🪰,,,戶蠅,,,,苍蝇,,
,,,,掠魚,,,,抓鱼,,
,,,,跳索,,,,跳绳,,
,🦟,,,蠓,,,,蚊子,,
,,,,蝨母,,,,虱子,,
,🪳,,,曱甴 | 虼蚻,,,,蟑螂,,
,,,,䭕水魚,,,,淡水鱼,,
,,,,鹹水魚,,,,海水鱼,,
,,,,刣魚,,,,宰鱼,,
,,,,魚春,,,,鱼卵,,
,,,,魚鱗,,,,鱼鳞,,
,,,,魚鰾,,,,鱼鳔,,
,,,,魚鰓,,,,鱼鳃,,
,,,,魚刺,,,,鱼刺,,
,,,,馬鮫,,,,马鲛鱼,,
,,,,鯧,,,,鲳鱼,,
,🦑,,,鰇魚,,,,鱿鱼,,
,,,,墨斗,,,,乌贼 | 墨鱼 | 墨斗鱼,,
,,,,那哥魚 | 癩瘑魚,,,,多齿蛇鲻,,
,,,,福壽魚,,,,罗非鱼,,
,,,,䱛仔 | 䱛囝,,,,䱛鱼,,
,,,,鮭魚 | 乖魚,,,,河豚 | 河鲀,,
,,,,烏頭 | 烏魚,,,,乌头鱼 | 鲻鱼,,
,,,,金龍䱛,,,,黄花鱼 | 金龙鱼,,
,,,,娘愛魚,,,,泥猛鱼,,
,,,https://images.langmap.io/d46bdae4-b273-4bd1-bdde-0c3f9d92079d.webp,花仙 | 花仙魚,,,,鲭鱼 | 鲐鲅鱼 | 鲐鱼,,
,,,,鰻魚,,,,鳗鱼,,
,,,,烏前 | 烏前魚,,,,,,
,,,,龍舌魚 | 龍舌,,,,龙利鱼,,
,,,,巴浪魚 | 巴浪,,,,蓝圆鯵,,
,,,,鯇魚,,,,草鱼,,
,,,,姑魚,,,,金色小沙丁鱼,,
,,,,鯽魚,,,,鲫鱼,,
,,,,秋刀魚,,,,秋刀鱼,,
,,,,紅目鰱,,,,红目大眼鲷,,
,,,,田鱔,,,,黄鳝 | 鳝鱼,,
,,,,白帶魚,,,,裙带鱼 | 鞭鱼 | 海刀鱼,,
,🐊,,,鰐魚,,,,鳄鱼,,
,🦈,,,鯊魚,,,,鲨鱼,,
,🐳,,,鯨魚,,,,鲸鱼,,
,,,,紅哥鯉,,,,金线鱼,,
,🦐,,,蝦,,,,虾,,
,🍅,,,番茄,,,,西红柿 | 番茄,,
,🦪,,,蚝 | 蠔 | 蚵,,,,牡蛎,,
,,,,車白,,,,文蛤,,
,🦀,,,蟹,,,,螃蟹,,
,,,,花蛤,,,,花甲,,
,🙂‍↕️,,,觸頭,,,,点头,,
,,,,搖頭,,,,摇头,,
,,,,攲頭,,,,歪头,,
,,,,參詳,,,,商量,,
,,,,學古,,,,讲故事,,
,,,,罵,,,,骂,,
,,,,詏,,,,争辩,,
,,,,冤家,,,,吵架,,
,,,,恬,,,,安静,,
,,,,喷,,,,喷,,
,,,,啡痰,,,,吐痰,,
,,,,歕,,,,吹,,
,,,,嗾,,,,呛,,
,🧐,,,看詳睇,,,,仔细看,,
,,,,經心事 | 經頭經腦 | 經心衋事,,,,操心,,
,,,,經破頭腦,,,,想破脑袋,,
,,,,揨,,,,碰,,
,,,,剚 | 拍 | tn̄g,,,,打,,
,,,,舂,,,,捣,,
,,,,刜,,,,挥,,
,,,,拗折,,,,折断,,
,,,,盖,,,,覆盖,,
,,,,掃,,,,扫,,
,,,,揞,,,,掩,,
,,,,擎,,,,拿 | 举,,
,,,,𢭪,,,,拾 | 捡,,
,,,,挈,,,,取,,
,,,,摜,,,,提,,
,,,,厾,,,,戳,,
,,,,割,,,,割,,
,,,,殺,,,,杀,,
,,,,斬,,,,斩,,
,,,,斫,,,,剁,,
,,,,拭,,,,擦,,
,,,,濡,,,,抹,,
,,,,掊,,,,扒,,
,,,,揂,,,,拉,,
,,,,捏,,,,掐,,
,,,,漱牙,,,,刷牙,,
,,,,跋,,,,摔,,
,,,,踏,,,,踩,,
,,,,踢,,,,踢,,
,,,,轉,,,,回,,
,,,,修理,,,,修理,,
,🅿️,,,泊車,,,,停车,,
,,,,tsah | 帶 | 領 | 𤆬,,,,领 | 带,,
,,,,娶,,,,娶,,
,,,,徙,,,,移动,,
,,,,歇,,,,放置,,
