nan-x-cha,nan-x-cha-Latn-puj,zh-TW,en-US,nan-x-cha_source_type,nan-x-cha_source_ref,nan-x-cha_tags,nan-x-cha_collection_id,nan-x-cha-Latn-puj_collection_id
動角,tõng-kak,手杖,,考釋,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,打扮,2034669892,1118230472
勞汝,lâu--lṳ́,有勞你,thank obliged,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
勢頭,sì-thâu,勢力,influence,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,政治,2034669892,1118230472
勥,khiàng,厲害,clever|strong,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,人|品評,2034669892,1118230472
勸戒,khǹg-kòi,勸戒,advise|warn,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
勿,mài,不要,"don't want, don't",汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,入門,2034669892,1118230472
勿亂食,mài-thèng-chia̍h,不要亂吃,don't be eating what you shouldn't eat,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
勿哭,mài-khàu,不要哭,don't cry,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
勿笑,mài-chhiè,不要笑,don't laugh,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
勿算,mài-sǹg,不要計較,exclude,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
包裹,pau-kó,包裹,baggage,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
包領,pau-niá,包管,guarantee,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
匏,pû,白南瓜,pumpkin,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,植物|蔬菓,2034669892,1118230472
匏桸,pû-hia,水瓢,,考釋,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,起居|物件,2034669892,1118230472
北爿,pak-pôiⁿ,北邊,north,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
匹配,phit-phùe,匹配,pair,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
十一,tsa̍p-it,十一,eleventh day of the moon,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
十二,tsa̍p-jĩ,十二,12|twelfth day of the moon,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
十字架,tsa̍p-jī-kè,十字架,cross,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
十戒,tsa̍p-kài,十戒,ten commandments,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
千里鏡,tshoiⁿ-lí-kiàⁿ,望遠鏡,a telescope,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,職業|行船,2034669892,1118230472
升旗,seng-kî,升旗,to hoist a flag,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
半天,puàⁿ-thiⁿ,半天,sky,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
半暝,puàⁿ-mê,半夜,,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,時日,2034669892,1118230472
半燒,lā-lûn-sie,半熱,tepid,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
卑麻油,pi-muâ-iû,卑麻油,castor oil,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
南爿,nâm-pôiⁿ,南邊,south,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
印板,ìn-póiⁿ,印板,type,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
印色,ìn-sek,印色,cotton waste soaked with red colour to stamp with,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
危,kûiⁿ,高,tall|high,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,入門,2034669892,1118230472
危皮,ngûi-phûe,木頭人,blockhead,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
卵,nñg,蛋,eggs,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,飲食,2034669892,1118230472
卵仁,nñg-jîn,蛋黃,yolk,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,飲食,2034669892,1118230472
卵核,lãn-hu̍t,睪丸,testicles,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,人|身體,2034669892,1118230472
卵清,nñg-chheng,蛋白,white,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,飲食,2034669892,1118230472
卵脬,lãn-pha,陰囊,bladder,考釋,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,人|身體,2034669892,1118230472
厘秤,lî-chhìn,厘秤,a small scale,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
厝,tshù,家,home|a house,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,起居|場所,2034669892,1118230472
厝主,tshù-tsú,房東,landlord,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,職業|經商,2034669892,1118230472
厝囝,tshù-kiáⁿ,小房子,hut,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
厝圖,tshù-tôu,建築設計圖,plan for a builder,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
厝局,tshù-ke̍k,建築設計圖,plan for a builder,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
厝瓦,tshù-hiã,房瓦,tiles (roof.),汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
厝稅,tshù-sùe,房租,house rent,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,職業|經商,2034669892,1118230472
厝邊,tshù-piⁿ,鄰居,neighbour,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,起居|場所,2034669892,1118230472
厝頂,tshù-téng,房頂,roof,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,起居|場所,2034669892,1118230472
原來,nguân-lâi,原來,originally,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
原價,nguân-kè,原價,prime cost,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
原告,nguân-kò,原告,prosecutor,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
原根,nguân-kṳn,根本,source,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
厲害,lĩ-hāi,厲害,dangerous,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
去厝,khṳ̀-tshù,回家,return,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
去哪,khṳ̀--nō,去吧,go away,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
去職,khṳ̀-cheh,離職,dismiss as an official,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
參詳,tsham-siâng,參詳,consult,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
反輾轉,póiⁿ-lìn-tńg,反轉,turn over,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
反轉,huán-tńg,反轉,contrary on the,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
受苦,siũ-khóu,受苦,suffer,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
受賄,siũ-iũ,受賄,bribe to receive,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,法律,2034669892,1118230472
叛反,puãn-huán,反叛,mutiny,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
叛逆,puãn-nge̍k,叛逆,mutiny,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
口㼦,kháu-kóng,漱口杯,,考釋,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,起居|物件,2034669892,1118230472
口供,kháu-keng,口供,evidence,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
古事,kóu-sṳ̄,歷史,history,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,教育,2034669892,1118230472
古傳,kóu-tn̄g,傳說,legend,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,教育,2034669892,1118230472
古儂,kóu-nâng,古人,ancient,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
古怪,kú-kuài,古怪,remarkable|strange,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
古早,kóu-tsá,古昔,ancient,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
叫,kiè,叫,,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,人|行動,2034669892,1118230472
召專,tiãu-tsuan,故意,purposely,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
可惜,khó-sieh,可惜,pity,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
可惡,khó-ù,可惡,abominable,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
可憐,khó-liên,可憐,compassion|mercy,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
可比,khó-pí,可比,instance|supposing,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
可痛,khó-thiàⁿ,可痛,pity,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
司公,sai-kong,道士,tauist „,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
司阜,sai-pẽ,師傅,mechanic,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,職業,2034669892,1118230472
各儂,kak-nâng,各人,individually,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
各樣,koh-iēⁿ,各樣,peculiar,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
合同,ha̍p-tâng,合同,contract|agreement,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
合摩,ha̍h-muâ,合入,,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
合約,ha̍p-ieh,合約,agreement,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
吊桶,tiàu-tháng,吊桶,bucket,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
吊瓜,tiàu-kue,黃瓜,cucumber,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,植物|蔬菓,2034669892,1118230472
吊頷,tiàu-ãm,吊頸,hang oneself|suicide by hanging,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
同字劃,tâng-jī-u̍eh,族人,clansman,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
同門,tâng-mn̂g,連襟,,考釋,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,人|稱呼,2034669892,1118230472
名家,miâⁿ-ke,名家,able|clever,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
名聲,miâⁿ-siaⁿ,名聲,fame,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
名色,miâⁿ-sek,名譽,,考釋,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,人|品評,2034669892,1118230472
名頭,miâⁿ-thâu,名聲,,考釋,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,人|品評,2034669892,1118230472
吐瀉,thòu-sià,霍亂,cholera,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,健康,2034669892,1118230472
君子,kun-tsṳ́,君子,civil|gentlemanly,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
吟詩,ngîm-si,吟詩,sing hymns,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
呂宋票,lṳ̃-sòng-pie,呂宋票,lottery manila,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
呂宋薰,lṳ̃-sòng-hun,呂宋菸,"cigar, manila",汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
告示,kò-sī,告示,proclamation,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
告贏,kò-iâⁿ,告贏,case to win,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
告輸,kò-su,告輸,case,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
告量,kàu-niêⁿ,商量,consult,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
呢,nî,毛呢,woollen cloth,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,職業|經商,2034669892,1118230472
味素,bī-sōu,味道,palate or taste,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,飲食,2034669892,1118230472
呵呬,huah-hì,哈欠,yawn,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,健康,2034669892,1118230472
呵咾,o-ló,稱讚,praise,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,人|品評,2034669892,1118230472
呸瀾,phùi-nuã,吐痰,spit,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
命運,miāⁿ-ūn,命運,fate,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
呾,tàⁿ,說,relate|speak|tell,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,人|行動,2034669892,1118230472
呾大話,tàⁿ-tuā-ūe,說大話,boast,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
呾無,tàⁿ-bô,否認,deny,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
呾知,tàⁿ-tsai,告知,warn,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
呾耍,tàⁿ-sńg,開玩笑,joke in word,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
呾話,tàⁿ-ūe,說話,speak,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
咄,tuah,叱責,,考釋,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,人|行動,2034669892,1118230472
和尙,hûe-sièⁿ,和尙,buddhist priest,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
和約,huâ-ieh,和約,covenant to make,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
咒誓,chiù-tsuā,發誓,swear,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
咖喱,ka-lî,咖喱,curry,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,飲食,2034669892,1118230472
咖喱末,ka-lî-bua̍h,咖喱末,curry stuff,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
咳咳叫,kā-kā-kiè,咳咳叫,noise to make a great,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
咳嗽,ka-sàu,咳嗽,to cough,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,健康,2034669892,1118230472
哀啊,āi--ā,唉呀,alas!,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
哺,pōu,咀嚼,chew,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,飲食,2034669892,1118230472
哼謒,hng-tshan,呻吟,groan,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
唐儂,tn̂g-nâng,中國人,,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,人|稱呼,2034669892,1118230472
唐山,tn̂g-suaⁿ,中國,china,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
唚,chim,吻,kiss,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,人|行動,2034669892,1118230472
唱曲,chhiè-khek,唱曲,sing,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
唱歌,chhiè-kua,唱歌,sing,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
唸經,liām-keng,唸經,recite prayers,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
啉,lim,飲(酒),,考釋,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,飲食,2034669892,1118230472
問候,mn̄g-hāu,問候,compliment,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
啞,é,啞巴,dumb,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,健康,2034669892,1118230472
喉嚨,âu-lêng,喉嚨,throat,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,人|身體,2034669892,1118230472
喊,hàm,叫,call,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,人|行動,2034669892,1118230472
喘氣,huâⁿ,喘氣,snore,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
喙,tshùi,嘴,mouth,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,人|身體,2034669892,1118230472
喙臨皮,tshùi-lîm-phûe,嘴唇,lips,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,人|身體,2034669892,1118230472
喫草,khòi-tsháu,吃草,graze,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
單丁,tuaⁿ-teng,獨生子,,考釋,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,人|稱呼,2034669892,1118230472
單儂,tuaⁿ-nâng,單身,alone|lonely,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
單重,tuaⁿ-têng,單折,single fold,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
嗡嗡叫,ng-ng-kiè,嗡嗡叫,buzz,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
嘀嗒,ti-tâ,嘀嗒,clarionet|trumpet,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
嘔噦,áu-ueh,嘔吐,nausea,考釋|汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,健康,2034669892,1118230472
嘶,soi,叫嚷,shout,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,人|行動,2034669892,1118230472
器具,khì-kũ,器具,instrument,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
嚇一下叫,hehⁿ--chē-kiè,嚇一跳,,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
嚇驚,heh-kiaⁿ,驚嚇,threaten,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
嚷,jiáng,叫嚷,bawl|row to make a|shout,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,人|行動,2034669892,1118230472
四季,sì-khùi,四季,the four seasons,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
四散,sì-suàⁿ,四處,scatter,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
四方,sì-pang,四方,square|a square,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
四方床,sì-pang tshn̂g,方桌,a square table,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
四方牀,sì-pang tshn̂g,方桌,,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,起居|物件,2034669892,1118230472
四更,sì-keⁿ,四更,fourth watch from 1 to 9 a.m,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
四肢,sì-chiⁿ,四肢,limbs,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
囝,kiáⁿ,子女,child|son,考釋,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,人|稱呼,2034669892,1118230472
囝婿,kiáⁿ-sài,女婿,daughter's husband,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
囝孫,kiáⁿ-sun,子孫,descendant|posterity,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
回信,hûe-sìn,回信,reply,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
回家,hûe-ke,回家,return,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
回批,hûe-phoi,回信,reply,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
回話,hûe-ūe,口譯,interpret|interpreter|linguist,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
回輾轉,hui-lìn-tńg,回來,turn round as a table,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
回轉來,hui-tńg--lâi,回來,turn back,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
因爲,in-ûi,因爲,"because, on account of",汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
囤貨房,tun-hùe-pâng,儲藏室,a storeroom,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,起居|場所,2034669892,1118230472
囥,khǹg,藏,conceal|keep,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,人|行動,2034669892,1118230472
囥摩,khǹg-muâ,藏起來,,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
圈套,khuan-thàu,圈套,snare,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
園籬,hn̂g-lî,園籬,fence|hedge,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
圓床,îⁿ-tshn̂g,圓桌,,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
圓牀,îⁿ-tshn̂g,圓桌,,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,起居|物件,2034669892,1118230472
土名,thóu-miâⁿ,土名,"byname, (nickname|nickname",汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
土話,thóu-ūe,土話,dialect,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
土談,thóu-thâm,土談,colloquial|dialect,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
在,tõ,在,"at, in, on, in the act of|from",汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,入門,2034669892,1118230472
在,tsãi,很,,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,入門,2034669892,1118230472
在船,tõ-tsûn,在船,board on …… ship,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
