src,tgt
删除片段,Remove Snippet
激活tab,Activationtab
匹配文件名,Match Filename
快速打开,Quick open
插入,INS
括号补全,Bracket Completion
字符表,Character Map
颜色拾取器,Colour Picker
拾取颜色,Pick Colour
显示空白,Show _ White Space
终端,Terminal
绘制颜色 ：,Drawing colour :
切换书签,Toggle Bookmark
转到下一个书签,Goto Next Bookmark
转到下一个书签,Goto the next bookmark
十六进制,Hex
八进制,Octal
二进制,Binary
字符表,Character table
错误,ERROR
搜索字符串,Search String
高亮颜色,Highlight Colour
替换为,Replace With
替换数据,Replace Data
转到字节位置,Jump to byte
输入要转到的字节位置,Enter the byte to jump to
打印当前文件,Print the current file
退出程序,Exit the program
移除缓冲区的当前视图,Remove the current view of the buffer
显示字符表,Show the character table
无法打开文件写 ！,Can 't open file for writing !
八进制 ：,Octal :
二进制 ：,Binary :
流长度 ：,Stream Length :
正保存到 HTML ...,Saving to HTML ...
下一页,Next page
默认分组类型,Default Group Type
数据字体,Data font
打印,Printing
选择要打开的文件,Select a file to open
无法打开文件 ！,Can not open file !
字符表 ...,Character Table ...
转换程序 ...,Converter ...
退出,Exit
导出为HTML ...,Export to HTML ...
转到字节,Goto Byte
打印预览 ...,Print Preview ...
移除视图,Remove View
字体选择,Font Selection
选取字体,Pick a Font
字体名称,Font name
预览文本,Preview text
32 位浮点数 ：,32 bit float :
64 位浮点数 ：,64 bit float :
打印文件 ...,Printing file ...
打印十六进制文档,Print Hex Document
正保存到 HTML ...,Saving to HTML …
文件,FILES
关于 GHex,About GHex
32 位浮点数 ：,Float 32 bit :
64 位浮点数 ：,Float 64 bit :
关于 GIMP FreeType,About GIMP FreeType
字体集,Font Family
字体样式,Font Style
设置字体搜寻路径,Configure Font Search Path
旋转 ：,Rotation :
沿X轴缩放 ：,Scale X :
沿X轴缩放 ：,Scale Y :
裁剪 ：,Shear :
字体大小 ：,Font Size :
字间距 ：,Spacing :
提示,Hinting
紧排,Kerning
创建贝塞尔曲线轮廓,Create Bezier Outline
字体列表,Font Table
逐点,Dot for Dot
自动,Auto
文件覆盖警告,File Overwrite Warning
编号 ：,Number :
确认删除帧,Confirm Frame Delete
从帧 ：,From Frame :
到帧 ：,To Frame :
编辑分形名字,Exchange with Frame
按颜色选择,Select By Colour
关键颜色 ：,Keycolour :
源 Alpha ：,Source Alpha :
目标 Alpha ：,Target Alpha :
自动预览,Automatic Preview :
预览图像与原图像的尺寸百分比,Size of the preview image in percent of the original
预览图层,Previewlayer
按名称搜索,Search by Name
按菜单路径搜索,Search by Menu Path
GIMP 插件,GIMP Plug-In
MPlayer 信息,mplayer Information
开始时间 ：,Start Time :
JPEG 质量,Jpeg Quality :
JPEG 平滑 ：,Jpeg Smooth :
静音,Silent
选择帧范围,Select Frame Range
覆盖帧,Overwrite Frame
覆盖全部,Overwrite All
XANIM 信息 ：,XANIM Information
备份到文件,Backup to file
文件名 ：,Filename :
文件格式警告,Fileformat Warning
下一帧,Next Frame
任意帧 …,Any Frame ...
编辑分形名字,Exchange Frame ...
移动路径 …,Move Path ...
透明度,Hue
亮度,Value
清楚选择,Selection none
全部选择,Selection all
函数 ：,Function :
反转,Invert Layer Selection
分形名字 ：,Frame Range
保存分形到文件,Save Morph Workpointfile
参数复位到缺省值,Number of the current point
形状,Shape
质量,Quality
参数复位到缺省值,Set colour for the current morph workpoint
创建视频索引文件,Create or Replace
缩放预览 ：,Scale Preview :
乒乓,Ping Pong
参数复位到缺省值,Delete current controlpoint
高度 ：,Height :
关键帧 ：,Keyframe :
分形名字 ：,Frame :
分形名字 ：,Fontname :
反转,Select Fontname
反转,Invert Selection
参数,Sample rate :
蓝 ：,Volume :
反转,Selection only
反转,Layer Selection :
反转,Invert Layer Selection :
反转,Pixel Selection :
颜色函数,X ratio :
颜色函数,Y ratio :
预览,Anim Preview
复位,FitSize :
实时预览,Scale Height :
自动,automatic
格式 ：,AreaFormat :
内部错误,internal error
启用,enable
信息 ：,Info :
覆盖文件,Overwrite File
输出,Output
分形名字 ：,Framenr 1 :
颜色函数,Start extraction
百分比 ：,Percentage :
颜色函数,Hue-Saturation ...
黄色,Yellow
绿色,Green
青色,Cyan
品红,Magenta
通道 ：,Channel :
全部选择,Selection invert
分形名字 ：,Frame
反转,Select Macrofile
分形名字 ：,filename
保存,Tmpfile :
参数,Set framerate
3 日志,3 log
0 自动,0 auto
2 整型,2 int
1 整型,1 int
文件注释,File Comment
移动路径 …,Move Path
创建图层,Create Layer :
缩放预览 ：,Select Pattern :
日期 ：,Rotate :
保存,Delete Point
下一帧,Current height :
选择帧范围,Set range to extract
平整图像,Flatten Image
转换到 RGB,Convert to RGB
确认保存,Confirm Save
确认,Confirm
导出文件,Export File
色板选择,Palette Selection
图案选择,Pattern Selection
按名称,by name
按帮助,by help
按作者,by author
按版权,by copyright
按类型,by type
按名称搜索,Searching by name
按帮助搜索,Searching by help
按作者搜索,Searching by author
按版权搜索,Searching by copyright
按类型搜索,Searching by type
百分点,percent
通道 ：,C _ hannel
前景色填充,FG colour fill
背景色填充,BG colour fill
图案填充,Pattern fill
灰度,Grey
仅白色,White only
仅灰色,Grey only
仅黑色,Black only
加深,Burn
对称线性,Bi-linear
图像文件,Image file
RGB 颜色,RGB colour
增值,Incremental
锯齿波,Sawtooth wave
三角波,Triangular wave
感官,Perceptual
相对色度,Relative colourimetric
饱和度,Saturation
当前 ：,Current :
可写,Writable
方格大小,Check Size
方格风格,Check Style
固定,Anchor
剪裁,Cr _ op
更多 ...,More ...
单位选择,Unit Selection
单位,Unit
对比度,Portrait
显示器配置文件 ：,Monitor profile :
颜色校对,Colour Proof
黑色,Black
水彩,Watercolour
按钮 0,Button 0
按钮 4,Button 4
按钮 5,Button 5
按钮 6,Button 6
按钮 7,Button 7
按钮 8,Button 8
按钮 9,Button 9
左键,Button Left
右键,Button Right
额外键,Button Extra
按钮 0,Button Back
Linux 输入事件控制器,Linux input event controller
设备 ：,Device :
Linux 输入,Linux Input
Linux 输入事件控制器,DirectX DirectInput event controller
MIDI 事件控制器,MIDI event controller
MIDI 事件控制器,GIMP MIDI Input Controller
Python 控制台,Python-Fu Colour Selection
欢迎使用 GIMP ！,Welcome to the GNU Image Manipulation Program !
执行错误,execution error
调用错误,calling error
栈 ID,Stock ID
嵌入 pixbuf,Inline pixbuf
立方,Cubic
交互式运行,Run interactively
非交互式运行,Run non-interactively
从左至右,From left to right
从右至左,From right to left
无色彩管理,No colour management
第 000 页,Page 000
图像配置文件,Image profile :
HSV 色轮,HSV colour wheel
架驶盘按钮,Button Wheel
加速档按钮,Button Gear Down
减速档按钮,Button Gear Up
X 左移,X Move Left
X 右移,X Move Right
Y 后移,Y Move Back
Z 上移,Z Move Up
Z 下移,Z Move Down
水平轮向后转,Horiz . Wheel Turn Back
表盘向左转,Dial Turn Left
表盘向右转,Dial Turn Right
轮向向左转,Wheel Turn Left
轮向向右转,Wheel Turn Right
设备不可用,Device not available
Y 移开,Y Move Away
Y 移近,Y Move Near
Python-Fu 文件选择,Python-Fu File Selection
文本文件,Text file
项目框,Entry box
调色板,Palette
绿色或饱合度,Green or Saturation
蓝色或亮度,Blue or Value
切片,Slice
用于 HTML 导出的路径,Path for HTML export
用于导出的文件名,Filename for export
图像名前缀,Image name prefix
图像格式,Image format
交互式 Gimp Python 解释器,Interactive GIMP Python interpreter
灰度channel-type,Greychannel-type
大check-type,Largecheck-type
仅白色check-type,White onlycheck-type
仅灰色check-type,Grey onlycheck-type
仅黑色clone-type,Black onlyclone-type
图像clone-type,Imageclone-type
线性interpolation-type,Linearinterpolation-type
存储 IDicon-type,Stock IDicon-type
嵌入 pixbuficon-type,Inline pixbuficon-type
立方interpolation-type,Cubicinterpolation-type
放大zoom-type,Zoom inzoom-type
像素大小,Pixel Size
模糊,fuzzy
最开始,The Very Beginning
选择多边形区域,Polygonal Selection
GEGL 操作,GEGL operation
插件的开发,Plug-in Development
对齐工具,Align Tool
新的剪裁工具,New Crop Tool
脚本支持,Scripting
文本工具,The Text Tool
路径工具,The Path Tool
导言,PREAMBLE
效力与定义,APPLICABILITY AND DEFINITIONS
逐字的复制,VERBATIM COPYING
大量地复制,COPYING IN QUANTITY
修改,MODIFICATIONS
组合文件,COMBINING DOCUMENTS
文件的收集,COLLECTIONS OF DOCUMENTS
独立作品的聚集,AGGREGATION WITH INDEPENDENT WORKS
翻译,TRANSLATION
终止,TERMINATION
本授权的未来改版,FUTURE REVISIONS OF THIS LICENSE
提交 BUG,Reporting the Bug
Bugzilla ： 输入 BUG 内容 ： GIMP,Bugzilla : Enter Bug : GIMP
输入 BUG 内容 ： GIMP,Enter Bug : GIMP
严重程度,Severity
不修复,Wontfix
重复,Duplicate
非 BUG,Notabug
非 Gnome 问题,NotGnome
不完整,Incomplete
参考文献,Bibliography
OS X 中的 Fink 包管理器,Fink Package Manager for OS X
Freetype 2 首页,Freetype 2 home page
GIMP - GNU 图像处理程序,GIMP - The Gnu Image Manipulation Program
GIMP 开发,GIMP Development
GIMP 插件开发,GIMP Plugin Development
GIMP 文档项目页面,GIMP Documentation project page
国际色彩联盟,INTERNATIONAL COLOR CONSORTIUM
LPROF ICC 色彩配置文件生成器,LPROF ICC Profiler
OpenICC 项目,The OpenICC project
Python 编程语言,Python Programming Language
简单的交互式物体提取,Simple Interactive Object Extraction
工具箱,The Toolbox
工具箱,Toolbox
选区,The Selection
编写,Write
Alpha 通道,Alpha Channel
图层类型,Layer type
图层,Layer
选区,Show Image Selection
Alpha 通道,Channel
卡通,Animation
菜单的键盘操作参考,Key reference for Help menu
拾色器,Color Picker
移动,Move
旋转,Rotate
菜单的键盘操作参考,Key reference for the File menu
新建图像,New image
打开最近图像 # 1,Open recent image # 1
打开最近图像 # 2,Open recent image # 2
打开最近图像 # 3,Open recent image # 3
打开最近图像 # 4,Open recent image # 4
打开最近图像 # 5,Open recent image # 5
打开最近图像 # 6,Open recent image # 6
打开最近图像 # 7,Open recent image # 7
打开最近图像 # 8,Open recent image # 8
打开最近图像 # 9,Open recent image # 9
打开最近图像 # 10,Open recent image # 10
保存图像,Save image
菜单的键盘操作参考,Key reference for View menu
"Shift + F10 , 右击","Shift + F10 , right click"
使用前景色填充,Fill with FG Color
使用背景色填充,Fill with BG Color
菜单的键盘操作参考,Key reference for Layer menu
选中上层图层,Select the layer above
选中下层图层,Select the layer below
菜单的键盘操作参考,Key reference for Select menu
全选,Select all
不选,Select none
缩放工具,Zoom tool
Ctrl + 点击,Ctrl + click
欢迎使用 GIMP,Welcome to GIMP
GIMP - GNU 图像处理程序,GNU Image Manipulation Program
GIMP 文档团队,The GIMP Documentation Team
法律提示,Legal Notice
前言,Preface
函数参考,Function Reference
Alpha 通道,Alpha channel
贝塞尔曲线,Beacute ; zier curve
位图,Bitmap
凹凸贴图,Bump mapping
色彩,Color
抖动,Dithering
羽化,Feathering
文件格式,File format
浮动选区,Floating Selection
色阶,Gamut
HTML 标记,HTML notation
插入,Interpolation
最终图像,The final image
莫尔效果,Moireacute ; Effect
像素,Pixel
插件,Plugin
分辨率,Definition
色彩管理,Color Management
色环,Colorcircle
原图,Original image
源图像,Source image
青色成分,Cyan component
黑色成分,Black component
单色,Monochrome
保存图像,Scale image
退出 GIMP,Quit GIMP
打开对话框,File Open _ Dialogue
服务器端口,Server port :
服务器日志文件,Server logfile :
常用函数,Colour Function
菜单,Menu
插件,Plug-in
插件,Plug-In
在线,Outline
文件 菜单,The View Menu
帮助 菜单,The Layer Menu
文件菜单,The Tab menu .
帮助 菜单,The Help Menu
文件 菜单,The File Menu
文件菜单,The File menu
色调-饱和度,Hue-Saturation
平滑,Smooth
色彩平衡,Colour Balance
滑移,Shift
墨水,Ink
倾斜,Tilt
复原,Heal
比率,Rate
比率,Range
应用抖动,Apply Jitter
克隆,Clone
油漆桶填充,Bucket Fill
涂画,Paint
工具,Tool
缩放,Scale
高亮,Highlight
切变,Shear
矩阵,Matrix
移动活动图层,Move the active layer
拾取路径,Pick a path
移动活动路径,Move the active path
对齐,Align
相对于 ：,Relative to :
按名称icon-type,by nameicon-type
球面,Sphere
球面颜色,Sphere Colour
球面图像,Sphere Image
球面图层,Sphere Layer
内建,Built-in
删除,Telepen
默认颜色,Default Colour
棕色,Brown
暗绿,Dark Green
暗品红,Dark Cyan
海水蓝,Navy Blue
紫黑,Dark Violet
暗黄,Dark Yellow
紫红,Purple
马哈鱼色,Salmon
天空蓝,SkyBlue
紫色,Violet
粉红,Pink
浅棕黄色,Khaki
浅黄,Light Yellow
浅绿,Light Green
浅品红色,Light Cyan
石灰白,Slate Grey
白色,White
样本文字,Sample text
输入要插入的文件名,input file for merging
新建框对象,Create box object
填充色,Fill colour
线条颜色,Line colour
移到上层,Bring to front
向左旋转,Rotate left
向右旋转,Rotate right
水平翻转,Flip horizontally
垂直翻转,Flip vertically
左对齐,Align left
右对齐,Align right
水平中心共线,Align horizontal centre
垂直中心共线,Align vertical centre
水平居中,Centre horizontally
垂直居中,Centre vertically
新建图片对象,Create image object
设置图片,Set image
新建线条对象,Create line object
新建文字对象,Create text object
字体系列,Font family
字体粗细,Font weight
斜体,Italic
对齐文本,Align text
文字颜色,Text colour
通用,Any
不相符 。,No match .
检查,Review
没有填充,No Fill
没有线条,No Line
纸张尺寸,Page Size
居中,C _ entre
右键菜单,Context Menu
新建文件,Create a new file
保存当前文件,Save current file
1 : 1 缩放,Zoom 1 to 1
最佳比例,Zoom to fit
矩形,Box
线条,Line
把下层对象移到最底层,Lower object to bottom
水平翻转对象,Flip object horizontally
垂直翻转对象,Flip object vertically
左对齐,Align centre
顶端对齐,Align top
底部对齐,Align bottom
关于 ...,About …
属性栏,Property toolbar
标记,Markup
主工具栏,Main toolbar
绘图栏,Drawing toolbar
最近,Recent
搜索全部,Search all
布局 ：,Layout :
规格 # :,Part # :
系列 ：,Family :
键 ：,key :
线条间隔 ：,Line Spacing :
键值 ：,Key :
文字 ：,Literal :
格式 ：,format :
长度 ：,Length :
角度 ：,Angle :
不透明 ：,Opacity :
美国信封,US Letter
本地化,Locale
字体 ：,Font :
左对齐,Left align
中心对齐,Centre align
右对齐,Right align
垂直翻转,Elliptical
2 . 高度 ：,2 . Height :
6 . 页边,6 . Margin
3 . 页边,4 . Margin
3 . 页边,3 . Margin
4 . 限高 ：,4 . Clipping height :
布局 # 1,Layout # 1
布局 # 2,Layout # 2
启动后直接打开标签,Start on label
集合,Collate
字体系列,Default font family .
默认字体粗细 。,Default font weight .
默认文本颜色 。,Default text colour .
默认文本对齐 。,Default text alignment .
默认线颜色 。,Default line colour .
默认颜色,Default fill colour .
美国国标,US Legal
美国常用,US Executive
通用标签,Any label
CD单盒,CD Inlet
CD集标签,CD Booklet
CD单盒,DVD inlet
CD单盒,CD inlet
CD单盒,VHS-C inlet
紫色,VHS inlet
包装标签,Etiketten
2006年12月5日,5 December 2006
2004年6月17日,17 June 2004
2004年2月25日,25 February 2004
2004年2月10日,10 Feb 2004
2002年5月30日,30 Mar 2002
2000年5月11日,11 May 2000
新建一个工程,Creating a New Project
打开一个工程,Opening a Project
保存当前工程,Saving a Project
无法接受的 TLS 证书,Unacceptable TLS certificate
输出文件名,Output filename
输出文件名模式,Output filename pattern
输出文件名 ：,Output filename :
源文件名,Source Filename
序号 - 标题,Number - Title
流派 ：,Genre :
音轨 ：,Track number :
关于 Gnac,About Gnac
打开文件 ...,Open a File …
输出格式,Output format
采样率,Sample rate
平均比特率,Mean bitrate
最小比特率,Min bitrate
最大比特率,Max bitrate
配置文件管理器,Profile Manager
导入文件 ...,Importing file …
配置文件信息,Profile information
配置文件配置,Profile configuration
GStreamer 管道,GStreamer pipeline
目标比特率,Goal bitrate
复杂度,Complexity
MD5 校验和,MD5 Sum
原始 ACC,Raw AAC
CD 音质 ， ACC,"CD Quality , AAC"
CD 音质 ， MP3,"CD Quality , MP3"
立体声,Stereo
联合立体声,Joint Stereo
双声道,Dual Channel
单声道,Mono
无法创建管道,Unable to create pipeline
音轨数,Track count
音轨号,Track number
音轨增益,Track gain
音轨峰,Track peak
采样率,Framerate
来自,from
信件配置文件,New Profile
GNOME ALSA 声卡混音器,An ALSA mixer for GNOME
GNOME ALSA 混音器,GNOME ALSA Mixer
主应用程序,Main Application
程序,App
父程序,Parent Application
混音器,Mixer
元件,Element
ALSA 混音器元件,ALSA mixer element
静音,Mute
录音,Rec .
2003年3月,March 2003
2003年5月,May 2003
图标,Symbol
含义,Meaning
AltGr 键,AltGr
键的图标,Key Symbol
Meta 键,Meta
标志的按键,logo key
Shift 图标,Shift Symbol
GNOME 项目,GNOME Project
2005年9月,September 2005
2005年3月,March 2005
电池电量监视程序,Battery Charge Monitor Applet
电池电量监视程序 。,The Battery Charge Monitor applet .
获得帮助,Getting Help
电池电量监视器菜单环境,Battery Charge Monitor context menu
紧缩视图,Compact view
紧缩视图,Compact View
检查 ACPI 信息,Checking the ACPI information
ACPI 输出实例,Example ACPI output
2002年3月,March 2002
字符选择小程序,Character Picker Applet
字符盘,Character Palette
选择一个字符,To Select a Character
2003年4月,April 2003
宏工具,Macro facility
2004年10月,October 2004
CPU 频率调节监视器,CPU Frequency Scaling Monitor
选择要监视的 CPU,Selecting the CPU to monitor
显示菜单,Show menu
磁盘挂载器小程序手册,Drive Mount Applet Manual
2000年4月,April 2000
要挂载 、 卸载或弹出驱动器,"To Mount , Unmount or Eject a Drive"
切换语言,Switching Language
弹出式菜单,Popup Menu
布局查看,Layout View
移除插件,Removing a Plug-in
更多相关信息,More Information
日期范围,Date Range
图表类型,Graph Style
曲线图,Line Chart
条形图,Bar Chart
移动平均线,Moving Average
2002年4月,April 2002
混音器小程序,Mixer Applet
音量控制器,Volume Control
音量控制小程序,Volume Control Applet
要切换音量的开关,To Switch the Volume Off
喇叭,Speaker
2003年7月,July 2003
网络流量,Network traffic
交换空间,Swap Space
参数,Parameter
串行线路网际协议网络连接,Serial Line Internet Protocol network connection
并口线路网际协议网络连接,Parallel Line Internet Protocol network connection
以太网,Ethernet
以太网网络连接,Ethernet network connection
除了 SLIP 、 PLIP 或以太网之外的网络连接,"Network connection other than SLIP , PLIP , or Ethernet"
无网络连接,No network connection
创建一个置顶便笺,Creating a Sticky Note
右键单击该图标,Right Clicking on the Icon
置顶便笺颜色,Note Colour
2004 年 7 月,July 2004
电池电量监视器,Battery Charge Monitor
电池监视器,Battery Monitor
电量提示,Battery Notice
HAL 错误,HAL error
根据剩余时间而非剩余百分比给出警告,Warn on low time rather than low percentage
低电量通知,Low Battery Notification
满电量通知,Full Battery Notification
从上耗电,Drain from top
显示水平电量,Show the horizontal battery
电池电量低,Battery power low
字符拾取小程序工厂,Charpicker Applet Factory
字符板项,Palette entry
删除按钮,Delete button
监视 CPU 频率范围,Monitor the CPU Frequency Scaling
CPU 到监视器,CPU to Monitor
图形,Graphic
驱动器挂载小程序工厂,Drive Mount Applet Factory
阿拉伯语键盘映射,Arabic keymap
比利时语,Belgian
保加利亚语键盘映射,Bulgarian keymap
保加利亚西里尔文,Bulgarian Cyrillic
捷克键盘映射,Czech keymap
德语键盘映射,German keymap
法语键盘映射,French keymap
GB 102 键,GB 102-key
GB 105 键,GB 105-key
格鲁吉亚语键盘映射,Georgian keymap
格鲁吉亚拉丁语,Georgian Latin
希腊语键盘映射,Greek keymap
匈牙利语 101 键拉丁 1,Hungarian 101-key latin 1
匈牙利语拉丁 1,Hungarian latin1
匈牙利语 101 键拉丁 2,Hungarian 101-key latin 2
匈牙利语 105 键拉丁 2,Hungarian 105-key latin 2
匈牙利语 105 键拉丁 1,Hungarian 105-key latin 1
希伯来语键盘映射,Hebrew keymap
意大利语键盘映射,Italian keymap
老挝语键盘映射,Lao keymap
立陶宛语键盘映射,Lithuanian keymap
荷兰语键盘映射,Dutch keymap
葡萄牙,Portugal
斯洛文尼亚语键盘映射,Slovenian keymap
斯洛伐克语键盘映射,Slovak keymap
泰语键盘映射,Thai keymap
UK 105 键,UK 105-key
美国 84 键,US 84-key
美国 DEC 450,US DEC 450
美国国际,US International
美国 Sun type5,US Sun type5
塞尔维亚语键盘映射,Serbian keymap
蒙古语 alt 键盘映射,Mongolian alt keymap
蒙古语语音键盘映射,Mongolian phonetic keymap
蒙古语键盘映射,Mongolian keymap
亚美尼亚语 Sun 键盘映射,Armenian Sun keymap
荷兰语 Sun 键盘映射,Dutch Sun keymap
保加利亚语 Sun 键盘映射,Bulgarian Sun keymap
捷克 Sun 键盘映射,Czech Sun keymap
德语 Sun Type-4 键盘映射,German Sun Type-4 keymap
德语 Sun USB 键盘映射,German Sun USB keymap
德语 Sun 键盘映射,German Sun keymap
法语 Sun USB 键盘映射,French Sun USB keymap
法语 Sun 键盘映射,French Sun keymap
匈牙利语拉丁 2 Sun 键盘映射,Hungarian latin2 Sun keymap
匈牙利语 type5 拉丁 1 键盘映射,Hungarian type5 latin 1 keymap
希伯来语 Sun 键盘映射,Hebrew Sun keymap
意大利语 Sun Type-4 键盘映射,Italian Sun Type-4 keymap
意大利语 Sun USB 键盘映射,Italian Sun USB keymap
意大利语 Sun 键盘映射,Italian Sun keymap
立陶宛语 Sun 键盘映射,Lithuanian Sun keymap
拉脱维亚 Sun 键盘映射,Latvian Sun keymap
挪威语 Sun 键盘映射,Norwegian Sun keymap
罗马尼亚语 Sun 键盘映射,Romanian Sun keymap
斯洛文尼亚语 Sun 键盘映射,Slovenian Sun keymap
斯洛伐克语 Sun 键盘映射,Slovak Sun keymap
泰语 Sun 键盘映射,Thai Sun keymap
乌克兰语 Sun 键盘映射,Ukrainian Sun keymap
美国 Sun type5 键盘,US Sun type5 keymap
美国 Sun Type-4 键盘,US Sun Type-4 keymap
美国 Sun USB 键盘,US Sun USB keymap
Gweather 小程序工厂,Gweather Applet Factory
用于创建天气小程序的工厂 。,Factory for creating the weather applet .
气象报告,Weather Report
GNOME 天气,GNOME Weather
天空 ：,Sky :
温度 ：,Temperature :
露点 ：,Dew point :
点击进入 Weather.com,Click to Enter Weather.com
位置视图,Location view
输入 URL,Enter the URL
开尔文,Kelvin
华氏度,Fahrenheit
大气压,atm
金融图表,Financial Chart
移动平均线 ：,Moving average :
指数平均数指标 ：,Exponential moving average :
布林线,Bollinger
成交量,Vol
打开图表,Opening Chart
价格,Price
股票行情自动收录器,Ticker
图表,Chart
收益,Gain
启动程序,Start program
自动完成,Auto-Completion
选择一种颜色,Pick a colour
显示边框,Show frame
音量小程序,Volume Applet
从 GNOME 面板上进行音量控制 。,Volume control for your GNOME Panel .
音量控制 ...,Volume Control …
你想连接吗 ？,Do you want to connect ?
缓冲内存的图形颜色,Graph colour for buffer memory
网络输入活动的图形颜色,Graph colour for input network activity
网络输出活动的图形颜色,Graph colour for output network activity
空小程序工厂,Null Applet Factory
调制解调器监视器,Inbox Monitor
记事贴,Sticky Note
为记事贴指定某个标题,Specify a title for the note
字体的默认颜色,Default colour for font
PLIP 网络活动图形颜色,Graph colour for PLIP network activity
SLIP 网络活动图形颜色,Graph colour for SLIP network activity
一年,1 Year
CD 播放器,CD Player
货币,Currency
汇率,Currency Rate
显示通知,Show notification
柱状,Bar
刻度 ：,Scale :
对数,Logarithmic
股票组,Stock Group
20 英里山,20 Mile Hill
奥尔堡,Aalborg
阿巴坎,Abakan
艾卜哈,Abha
艾比利尼,Abilene
阿布扎比,Abu Dhabi
阿布扎比 - Bateen,Abu Dhabi - Bateen
阿卡普尔科,Acapulco
阿克拉,Accra
阿加尼亚,Agana
阿格拉,Agra
阿瓦士,Ahwaz
气湖,Airlake
气湖机场,Airlake Airport
机场,Airport
秋田,Akita
阿克拉,Akola
阿克伦城,Akron
阿克伦富尔顿国际机场,"Akron , Akron Fulton International Airport"
阿拉巴马州,Alabama
阿尔巴尼亚,Albania
奥尔巴尼,Albany
阿尔伯达,Alberta
阿尔比,Albi
英格兰,Albion
阿尔伯克基,Albuquerque
阿尔伯克基机场,Albuquerque Airport
阿勒颇,Aleppo
阿勒特,Alert
阿尔盖罗,Alghero
阿尔戈纳,Algona
艾丽丝,Alice
比迷尼艾丽丝城,"Alice Town , Bimini"
艾伦镇,Allentown
阿莱恩斯,Alliance
阿尔玛,Alma
阿拉木图,Almaty
阿尔皮纳,Alpena
阿尔卑斯,Alpine
阿尔塔,Alta
奥尔塔米拉,Altamira
奥尔顿,Alton
阿尔图纳,Altoona
阿尔瓦,Alva
阿玛里洛,Amarillo
安姆伯勒,Ambler
阿米莉娅,Amelia
安曼,Amman
安克雷奇,Anchorage
安科纳,Ancona
安徽,Anhui
安阿伯,Ann Arbor
安纳巴,Annaba
安妮特,Annette
安塔利亚,Antalya
安提瓜岛,Antigua
奥莫里,Aomori
阿帕拉契科拉,Apalachicola
阿巴里,Aparri
阿波罗,Apolo
苹果谷,Apple Valley
阿普尔顿,Appleton
阿拉卡茹,Aracaju
阿拉克,Arak
阿莱亚,Arar
阿克塔,Arcata
北极村,Arctic Village
阿雷基帕,Arequipa
阿里卡,Arica
亚利桑那州,Arizona
阿林顿,Arlington
阿林顿国家公墓,Arlington Municipal
阿鲁亚,Arua
阿塔特克,Ataturk
亚特兰大,Atlanta
大西洋,Atlantic
大西洋城,Atlantic City
奥本,Auburn
奥罗拉,Aurora
阿瓦隆,Avalon
贝克,Baker
贝克城,Baker City
贝克湖,Baker Lake
包尔山,Ball Mountain
巴尔的摩,Baltimore
巴内克木,Banak
曼谷,Bangkok
巴港,Bar Harbour
巴拉科阿,Baracoa
巴塞罗纳,Barcelona
巴尔瑙尔,Barnaul
巴里,Barre
巴里,Barrie
巴罗,Barrow
巴吞鲁日,Baton Rouge
巴特尔克里克,Battle Creek
巴特尔山,Battle Mountain
包鲁Bayern,BauruBayern
巴亚莫,Bayamo
拜罗伊特,Bayreuth
比阿特丽斯,Beatrice
波弗特,Beaufort
博蒙特,Beaumont
巴林岛,Beauvechain
贝克利,Beckley
北京,Beijing
贝鲁特,Beirut
贝沙,Beja
比利时,Belgium
伯利兹,Belize
贝拉库尔,Bella Coola
白里维,Belleville
贝灵汉,Bellingham
贝洛哈里桑塔,Belo Horizonte
本贝丘拉,Benbecula
贝尼纳,Benina
本顿港,Benton Harbour
本顿维尔,Bentonville
卑尔根,Bergen
柏林,Berlin
贝瑟尔,Bethel
贝弗莉,Beverly
比亚里茨-巴约讷,Biarritz-Bayonne
大派尼,Big Piney
大河湖,Big River Lake
童帽山,Biggin Hill
宾厄姆顿,Binghamton
伯明翰,Birmingham
黑泽,Blackpool
布莱恩,Blaine
布隆方丹 J. B. M. Hertzog,Bloemfontein J. B. M. Hertzog
布卢明顿,Bloomington
布里兹,Blythe
博莱,Bole
博尔扎诺,Bolzano
布恩,Boone
博格,Borger
博梅,Boulmer
伯恩茅斯,Bournemouth
沃伦县保龄球,Bowling Green
博兹曼,Bozeman
不莱梅,Bremen
不莱梅顿,Bremerton
布尔诺,Brno
布罗肯保,Broken Bow
布若姆,Broome
文莱,Brunei
布莱斯峡谷,Bryce Canyon
布法罗,Buffalo
保加利亚,Bulgaria
布赖米,Buraimi
伯班克,Burbank
伯雷,Burley
伯灵顿,Burlington
伯内特,Burnet
比尤特,Butte
开罗,Cairo
卡尔加里,Calgary
克莱恩特,Caliente
加利福尼亚,California
卡姆格里,Camaguey
卡马里奥,Camarillo
卡梅伦,Cameron
卡秘里,Camiri
坎佩切,Campeche
坎波,Campo
迦南,Canaan
堪培拉,Canberra
坎特威尔,Cantwell
纽汗姆角,Cape Newenham
开普敦 D. F. Malan,Cape Town D. F. Malan
首都国际机场,Capital International Airport
密里岛,Capo Mele
卡里布,Caribou
卡罗尔,Carroll
卡塔尼亚,Catania
中央公园,Central Park
塞尔维亚,Cervia
张伯伦,Chamberlain
香巴尼,Champaign
长春,Changchun
香尼亚,Chania
夏努特,Chanute
查尔顿,Chariton
夏洛特,Charlotte
