en_GB,es,ja,zh_CN,zh_TW,en_US
Colour Proof,,色合せ,颜色校对,色彩打樣,color Proof
Colour Scheme,,色のスキーム,配色方案,色彩配置,color Scheme
Colour Selection,,色の選択,颜色选择,顏色選擇,color Selection
Colour Selection :,,,颜色选择 ：,,color Selection :
Colour Set,,色の設定,颜色设置,顏色集,color Set
Colour Space,,,,色彩空間,color Space
Colour Temperature :,,色温度 :,色温 ：,色溫 ：,color Temperature :
Colour balance,,色のバランス,颜色平衡,色彩平衡,color balance
Colour management,,,色彩管理,,color management
Colour of highlight for the current match,,現在一致しているものを強調する色です,当前匹配的高亮颜色,用來標示目前符合字串的顏色,color of highlight for the current match
Colour palette,,色のパレット,调色盘,色盤,color palette
Colour plugin,Complemento rfkill,カラープラグイン,颜色插件,顏色外掛程式,color plugin
Colour profile for printing :,,,用来打印的颜色配置 ：,供列印用的色彩個人設定檔 ：,color profile for printing :
Colour temperature,,,色温,,color temperature
Colour to Alpha,Color a alfa,色を透明度に ...,,,color to Alpha
Colourify,Colorear,単色塗り ...,,,Colourify
Columbia,Colombia,コロンビア,哥伦比亚,哥倫比亞,Columbia
Columbia Metropolitan Airport,"Columbia , aeropuerto metropolitano",,,,Columbia Metropolitan Airport
Column,Columna,縦棒,圆形石柱,,Column
Column :,Columna :,縦棒,列 ：,欄 ：,Column :
Column After,,後ろに列,列的右边,該欄之後,Column After
Column Before,Columna anterior,前に列,列的左边,該欄之前,Column Before
Column Name,,カラム,,,Column Name
Column Number,,列番号,列号,欄編號,Column Number
Column Spacing,,列の間隔,列间距,欄間隔,Column Spacing
Column Span,,列の展張,列跨度,合併欄,Column Span
Column Span :,,列の幅 :,列跨越 ：,合併欄數 ：,Column Span :
Column after,,,列的右边,,Column after
Column before,Columna anterior,,列的左边,,Column before
Colville,,コルヴィル,科尔维尔,科爾維,Colville
Colville Lake,,コルヴィル ・ レイク,,科爾維湖,Colville Lake
Comalapa,,,科马拉帕,科馬拉帕,Comalapa
Comanche,,コマンチ,,科曼契,Comanche
Comayagua,,コマヤグア,科马亚瓜,利馬雅瓜,Comayagua
Combine,Combinar,合成,,,Combine
Combo,,コンボ ・ ボックス,混合,下拉框,Combo
Comfort Cove,,カムフォート ・ コーブ,,,Comfort Cove
Comic Book,,コミック本 ...,,,Comic Book
Comment,Comentario,コメント,评论,備註,Comment
Comment :,Comentario :,コメント :,注释 ：,註解 :,Comment :
Commit,Efectuar,コミット,提交,提交,Commit
Committer,Twitter,,提交者,提交者,Committer
Committing,,,正提交,正在提交,Committing
Common Function,Función común,関数,常见功能,函式,Common Function
Common Name,Nombre común,一般名,通用名,普通名稱,Common Name
Common Name :,Nombre común :,コモンネーム :,公共名称 ：,憑證名稱,Common Name :
Communication,Comunicación,教育 ・ 教養,通信,通訊,Communication
Community,Comunicacio n,コミュニティ,社区,社群,Community
Community Co-operation,,,社区合作,,Community Co-operation
Comox,,コモックス,科莫克斯,科摩克斯,Comox
Compact View,,,紧缩视图,精簡檢視,Compact View
Compact view,,,紧缩视图,,Compact view
Company,,会社,公司,公司,Company
Company :,,会社 :,公司 ：,公司 ：,Company :
Compare,Comparar,,比较,比較,Compare
Compare .,,明度 で してから 、 は 明るさ - = 20 、 コントラスト - = 40 とし 、 は 輝度を保持 有効で シャドウ に対し シアン + = 30 、 イエロー - = 30 で調整 。,,,Compare .
Compatibility,,互換性,兼容性,兼容性,Compatibility
Competition,Comparar con,,竞赛,,Competition
Compiler Directive,,コンパイラのディレクティブ,编译器指令,編譯器主導,Compiler Directive
Compiler opt,,,,編譯器主導,Compiler opt
Complete,Completa,完了,完成,完成,Complete
Complete .,,,完成 。,,Complete .
Completion,,補完モデル,补全,補齊,Completion
Completion Info,,補完の情報,关于补全的信息,自動補齊資訊,Completion Info
Complex,Complejo,複雑,复杂,複雜,Complex
Complex argument,,,,複數輻角,Complex argument
Complex conjugate,,,,共軛複數,Complex conjugate
Complex number,Número complejo,複素数,复数,複數,Complex number
Complexity,,複雑度,复杂度,,Complexity
Component,Componente,コンポーネント,组件,組件,Component
Component Engine,,プロットエンジン,组件引擎,元件引擎,Component Engine
Component Size,,コンポーネントのサイズ,组件大小,元件大小,Component Size
Component Type,,プロットの種類,组件类型,元件類型,Component Type
Computer,Equipo,コンピュータ,计算机,電腦,Computer
Computer + GNOME = Love,Equipo + GNOME = Amor,,,,Computer + GNOME = Love
Computer Clock,,コンピュータ時計,计算机时钟,電腦時鐘,Computer Clock
Computer Name,,コンピュータ名,计算机名,電腦名稱,Computer Name
Computer OU DN to join,,,要加入的计算机 OU DN,,Computer OU DN to join
Computer Science,,コンピュータ工学,计算机科学,電腦科學,Computer Science
Computer activity logger,,ログの記録サービス,计算机活动日志,電腦活動記錄器,Computer activity logger
Con,,定数,,,Con
ConakryCity in Guyana,,コナクリCity in Guyana,科纳克里City in Guyana,柯那克里City in Guyana,ConakryCity in Guyana
Concave,Cóncavo,凹ませる,,,Concave
Concepción,,コンセプシオン,康塞普西翁,康塞普森,Concepción
Concert hall,Concierto,,,,Concert hall
Concrete,Hormigón,,混凝土,混凝土,Concrete
Conference room,,会議室,,,Conference room
Configuration,Configuración,設定,配置,組態,Configuration
Configuration ...,,オニオンスキンの設定,,,Configuration ...
Configuration Complete,,設定が完了しました,,,Configuration Complete
Configuration type,,,配置类型,,Configuration type
Configure,Configurar,設定,配置,設定,Configure
Configure Another Device,,,配置另一个设备,,Configure Another Device
Configure Evolution,,,配置 Evolution,,Configure Evolution
Configure Font Search Path,,フォント検索パスの設定,设置字体搜寻路径,設定字型搜尋路徑,Configure Font Search Path
Configure Item,Configurar elemento,,配置条目,,Configure Item
Configure UI,Configurar UI,UI の設定,配置 UI,設定用戶界面,Configure UI
Configure a network interface,,ネットワーク ・ インタフェースを設定する,配置网卡,設定網路界面,Configure a network interface
Configure graph,Configurar gráfico,,,,Configure graph
Configure power management,,電源管理の設定を行います,配置电源管理,設定電源管理程式,Configure power management
Configure printing,,,配置打印,設置列印,Configure printing
Configure the Zoom to Suit You,,自由に設定できるズーム,,設定適合您的縮放,Configure the Zoom to Suit You
Configure the application,Configurar la aplicación,GHex の設定を変更します,设置应用程序,設定應用程式,Configure the application
Configure the applicationHelp,Configura la aplicaciónHelp,アプリケーションの設定を変更しますHelp,配置应用程序Help,設定此程式Help,Configure the applicationHelp
Configure the project,Configura el proyecto,Configure を実行します,配置项目,設定此專案,Configure the project
Configuring,Sin configurar,,未配置,未設置,Configuring
Configuring new printer,,新しいプリンターを設定しています,配置新的打印机,設定新的印表機,Configuring new printer
Confirm,Confirmar,確認,确认,確認,Confirm
Confirm :,Confirmar :,確認 :,确认 ：,確認 ：,Confirm :
Confirm Frame Delete,,フレームの削除確認,确认删除帧,,Confirm Frame Delete
Confirm Save,,保存の確認,确认保存,確認儲存,Confirm Save
Confirm on quit,,,,離開時確認,Confirm on quit
Confirm panel removal,,パネル削除時に確認する,确认面板删除,移除面板要先得到確認,Confirm panel removal
Confirm remove operation,,削除する際に確認,,,Confirm remove operation
Confirm value for authentication :,Confirmar el valor para la autenticación :,認証確認用の値 :,确认身份验证的值,驗證確認數值 :,Confirm value for authentication :
Confirmation,Confirmación,,确认,確認,Confirmation
Conflict,Conflicto,競合しています,,,Conflict
Conflict Search,,,冲突搜索,,Conflict Search
"Congo , Democratic Republic of theCongo",,コンゴ民主共和国Congo,刚果民主共和国Congo,剛果民主共和國Congo,"Congo , Democratic Republic of theCongo"
"Congo , Republic of the",,コンゴ共和国,刚果民主共和国,剛果共和國,"Congo , Republic of the"
Conjunction,Conjunción,接続詞,连词,,Conjunction
Connaught,,コンノート,康诺特,康瑙特,Connaught
Conne River,,,,康尼河,Conne River
Connect,Conectar,接続,连接,連線,Connect
Connect Remotely,,遠隔接続,,遠端的連線,Connect Remotely
Connect to :,Conectar con :,接続先 :,连接到 ：,連線到 ：,Connect to :
Connect to Remote Target,Conectar con objetivo remoto,,,連接到遠端目標,Connect to Remote Target
Connect to Server,,サーバーへの接続,连接到服务器,連接伺服器,Connect to Server
Connect to Server …,,サーバへ接続 ...,连接到服务器 ...,連接到伺服器 ...,Connect to Server …
Connect to VPN,Conectar a la VPN,,,,Connect to VPN
Connect to …,Conectar a,,,,Connect to …
Connecticut,,コネチカット,康涅狄格,康乃狄格,Connecticut
Connecting,,接続中,,,Connecting
Connecting to phone,,,已连接到电话,已連接到手機,Connecting to phone
Connecting with Chronopic,,,检查 Chronopic 端口,,Connecting with Chronopic
Connecting …,C_onectar,接続中 ...,正在连接 ...,連線中,Connecting …
Connection,Conexión,接続,连接,連線,Connection
Connection :,Conexión :,接続 :,连接 ：,連線 ：,Connection :
Connection Information,,接続情報,连接信息,連線資訊,Connection Information
Connection Name,,接続名,说明 ：,描述 ：,Connection Name
Connection Type,,接続方法,,,Connection Type
Connection Type :,,接続タイプ :,连接类型,連接類型,Connection Type :
Connection error : Network not available,,接続エラー : ネットワーク利用不可,连接错误 ： 网络不可用,,Connection error : Network not available
Connection failure,Falló la conexión,接続に失敗,连接失败,連線失敗,Connection failure
Connection to Server,,サーバーへ接続,连接服务器,連線到伺服器,Connection to Server
Connection type,,接続の種類,连接类型,連線類型,Connection type
Connection type :,,接続の種類 :,连接类型 ：,連線類型 :,Connection type :
ConnectionPower,Conexio nPower,接続,连接Power,連線,ConnectionPower
Conroe,,,康柔,康羅,Conroe
Contact,Contacto,問い合わせ先,联系人,連絡人,Contact
Contact :,Contacto :,,联系人 ：,,Contact :
Contact ID :,,,联系人 ID ：,,Contact ID :
Contact Information,,連絡先の情報,联系人信息,連絡人資訊,Contact Information
Contact Management,,連絡先の管理,联系人管理,連絡人管理,Contact Management
Contact Management Application,,連絡先管理アプリケーション,联系人管理应用程序,連絡人管理應用程式,Contact Management Application
Contact Map View,,,联系地图视图,,Contact Map View
Contact Name,,連絡先名,联系人名称,連絡人名稱,Contact Name
Contact Viewer,,,联系人查看器,,Contact Viewer
Contact information,,,联系人信息,,Contact information
Contact time,,,显示测试,,Contact time
Contacting ...,,接続中です ...,联系中 ...,連接中 ...,Contacting ...
Contacting …,,接続中です ...,联系中 ...,連接中 …,Contacting …
Container,,コンテナー,容器,容器,Container
Container format,,コンテナー形式,,容器格式,Container format
Container format :,,コンテナー形式 :,,容器格式 ：,Container format :
Content,,中身,容器,內容,Content
Content :,,コンテンツ :,内容 ：,內容,Content :
Content Box,,コンテンツボックス,内容框,內容方塊,Content Box
Content Gravity,,中身の重力,内容重心,內容引力,Content Gravity
Content Repeat,,中身の繰り返し,重复内容,內容重複,Content Repeat
Content View,,,内容视图,內容顯示模式,Content View
Content type,,曲線タイプ,内容类型,內容類型,Content type
Context,Contexto,脈絡,上下文,脈絡,Context
Context Help,,状況適応ヘルプ,,,Context Help
Context Menu,Menú contextual,コンテキスト ・ メニュー,右键菜单,上下文選單,Context Menu
Context Pane,Panel contextual,コンテキストペイン,关联窗格,情境窗格,Context Pane
Context menu,Menu contextual,バッファー ダイアログの脈絡メニュー,,,Context menu
Context menu in the clock applet,,,时钟小程序的右键属性菜单 。,,Context menu in the clock applet
Continental Div,,コンチネンタル Div,,,Continental Div
Continual Evolution,Evolución continua,,不断进化的 Evolution,,Continual Evolution
Continue,Continuar,続ける,继续,繼續,Continue
Continue Operation,Continuar operación,,继续操作,繼續動作,Continue Operation
Continue Running,,継続する,继续运行,繼續執行,Continue Running
Continue calibration,Continuar la calibración,キャリブレーションを継続,继续校准,繼續校準,Continue calibration
Continue chat,Continuar la charla,,,,Continue chat
Continue with Account Management .,,,接下来是 帐号管理 。,,Continue with Account Management .
Continue with Time Zone .,Zona horaria,,接下来是 时区 。,,Continue with Time Zone .
Continue without,,続行,继续 ， 不使用,繼續但不要,Continue without
Contour,Contorno,等高線,轮廓,輪廓,Contour
Contour plot .,,等高線をプロットします ．,轮廓图,輪廓圖,Contour plot .
Contour plotting engine,,等高線プロットエンジン,等高线标绘引擎,輪廓繪製引擎,Contour plotting engine
Contributor,,寄贈者,贡献者,貢獻者,Contributor
Contributor :,,寄贈者 :,贡献者 ：,貢獻者 ：,Contributor :
Control,Ctrl,,控制,控制,Control
Control Centre,,コントロールセンター,控制中心,控制中心,Control center
Control Group,,,控制组,控制群組,Control Group
Control Style,,制御モード,控件风格,控制風格,Control Style
Control key at bottom left,,左下,在左下角,於左下角,Control key at bottom left
Control key at left of ' A ',,,在 “ A ” 左侧,於 A 左側,Control key at left of ' A '
Convert,Convertir,変換,转换,轉換,Convert
Convert Format,Convertir formato,フォーマットの変換,转换格式,轉換格式,Convert Format
Convert from,,,转换 ， 从,轉換自,Convert from
Convert image format,,ファイル形式が間違っています,无效的文件格式,轉換圖片格式,Convert image format
Convert to Grey,,グレースケール画像に変換,,轉換成灰階,Convert to gray
Convert to RGB,Convertir a RGB,RGB 画像に変換,转换到 RGB,轉換成 RGB,Convert to RGB
Convert to regular note,Convertir a nota normal,通常のメモに変換する,转为普通便笺,轉換成一般筆記,Convert to regular note
Converter ...,,変換 ...,转换程序 ...,轉碼工具 ...,Converter ...
Conveyance,,,传输,輸運,Conveyance
Convolution Matrix,,コンボリューション行列 ...,,,Convolution Matrix
Convolve,Convolución,合成要素,,,Convolve
Cook,,クック,库克,庫克,Cook
Cook County Airport,"Cook County , aeropuerto",クック郡空港,,庫克縣立機場,Cook County Airport
Cookie Lifetime,,クッキーのライフタイム,Cookie 有效期,Cookie 留存時間,Cookie Lifetime
Cookie accept,,クッキーの受諾,Cookie 接受,接受 Cookie,Cookie accept
Cookie behaviour,,クッキーの動き,Cookie 行为,Cookie 運作方式,Cookie behavior
Cool,,クール ！,,酷 ！,Cool
Cool Metal,Metal fri o,冷たい金属 ...,,,Cool Metal
Coolangatta,,,库伦加塔,古蘭加塔,Coolangatta
Cooma,,クーマ,,古瑪,Cooma
Copenhagen,Copenhage,コペンハーゲン,哥本哈根,哥本哈根,Copenhagen
Copiapo,,コピアポ,,科帕坡,Copiapo
Coppell,,,科佩尔,且勒,Coppell
Copper Harbor,,,库铂港,銅港,Copper Harbor
Copper Harbour,Copper Harbor,,库铂港,銅港,Copper harbor
Copper Mountain,,クーパー ・ マウンテン,,銅山,Copper Mountain
Coppermine,,コッパーマイン,,銅韵城,Coppermine
Copy,Copiar,選択範囲をコピーします,复制,複製,Copy
Copy :,Copiar :,,复制 ：,,Copy :
Copy Date,Copiar fecha,日付のコピー,复制日期,複製日期,Copy Date
Copy From Pilot :,,,从Pilot复制 ：,,Copy From Pilot :
Copy Image Location,,画像の場所のコピー,复制图像位置,複製圖片位址,Copy Image Location
Copy Link Location,,リンクの場所のコピー,复制链接位置,複製連結位址,Copy Link Location
Copy Page Location,,ページ場所のコピー,复制页面位置,複製頁面位址,Copy Page Location
Copy Palette Location,,パレットの場所をコピー,,,Copy Palette Location
Copy Path,Copiar la ruta,パスのコピー,,,Copy Path
Copy Photo,Copiar foto,,复制照片,複製相片,Copy Photo
Copy Time,Copiar hora,時刻のコピー,复制时间,複製時間,Copy Time
Copy To Pilot :,Copiar hacia Pilot :,,复制到Pilot ：,,Copy To Pilot :
Copy To Right,,,,複製到右邊,Copy To Right
Copy To …,Copiar a,,复制到 ...,複製到 …,Copy To …
Copy a clip,,クリップのコピー,,,Copy a clip
Copy an object,Copiar un objeto,オブジェクトのコピー,,,Copy an object
Copy button,Copiar,,复制 按钮,,Copy button
Copy from Inbox,,受信箱からコピー,从收件箱里复制,自收件匣複製,Copy from Inbox
Copy from PDA,,パイロットからコピー,从 PDA 复制,從 PDA 複製,Copy from PDA
Copy left,,,,複製到左邊,Copy left
Copy link,Copiar el enlace,リンクのコピー,,,Copy link
Copy link to Web,Copiar el enlace a la web,地図情報の提供,复制链接到 Web,,Copy link to Web
Copy mail from :,,メールのコピー元,复制邮件从 ：,複製郵件自 :,Copy mail from :
Copy right,,,,複製到右邊,Copy right
Copy the Selection,,選択範囲のコピー,复制选中内容,複製選定的內容,Copy the Selection
Copy to,Copiar a,,复制到,複製到,Copy to
Copy to PDA,Copiar al PDA,パイロットへコピー,复制到 PDA,複製到 PDA,Copy to PDA
Copy with file,,ファイルの書き込みでエラー,,隨檔案複製,Copy with file
Copying a Key Name,,,复制键名,複製設定鍵名稱,Copying a Key Name
Copyright,,著作権,版权,版權,Copyright
Copyright & copy ; 2006-2012,,,版权所有 & copy ; 2006-2012,版權所有 & copy ; 2006-2012,Copyright & copy ; 2006-2012
Copyright :,Copyright,著作権 :,版权 ：,版權 ：,Copyright :
Copyright information .,,著作権 を明示します 。,,,Copyright information .
Copyright information for,,,,其版權資訊,Copyright information for
Copyright information for the program,,プログラムのコピーライト情報です,程序的版权信息,該程式的版權資訊,Copyright information for the program
Copyright © 2006 Benjamin Canou,,,版权所有 © 2006 Benjamin Canou,版權所有 © 2006 Benjamin Canou,Copyright © 2006 Benjamin Canou
"Copyright © 2008 Novell , Inc .",,,"版权 © 2008 Novell , Inc .",,"Copyright © 2008 Novell , Inc ."
Coral Harbour,,コーラル ・ ハーバー,珊瑚港,珊瑚港,Coral harbor
Core,Núcleo,コア,核心,核心,Core
Core File :,Archivo core :,,,核心檔案 ：,Core File :
Core file from program,,,,由程式所產生的 core 檔,Core file from program
Cork,Corcho,コーク,科克,科克,Cork
Corlu,,チョルル,乔尔卢,丘魯,Corlu
Corn,Maíz,,圆形石柱,,Corn
Coro,,コロ,科罗,科羅,Coro
Corona,,コロナ,科罗娜,科羅納,Corona
Coronation,,コーロネイション,科罗内申,科羅內欣,Coronation
Coronation Marine Aviation Reporting Station,,コーロネイション海兵航空隊報告基地,,科羅內欣海軍飛機叵報站,Coronation Marine Aviation Reporting Station
Correction factor,,修正の要因,修正因数,校正因素,Correction factor
Cortez,,コルテス,科特兹,科提茲,Cortez
Corumbá,,コルンバ,库伦巴,科隆巴,Corumbá
Cotobato,,,,科托巴托,Cotobato
Cotonou,,コトヌー,科托努,柯都努,Cotonou
Cotulla,,,科图拉,科土拉,Cotulla
Count,Conteo,カウント,计数,計數,Count
Count :,Cuenta :,縦棒,计数 ：,數目 ：,Count :
Counting,Contar,,计数中,,Counting
Country,,カントリー,国家,國家,Country
Country :,,,国家 ：,,Country :
Country or region,,国や地域,国家或地区,國家或地區,Country or region
County,Provincia,都道府県,,,County
Coupeville,,クープビル,,庫普維,Coupeville
Cove Point,,コーブ岬,,,Cove Point
Coventry,,コベントリ,考文垂,科芬特里,Coventry
Cover,Cubrir,,封面,封面,Cover
Cover Art Fetching,,カバーアート取得,封面图片获取中,封面藝術擷取,Cover Art Fetching
Cover art,,カバーアート,,,Cover art
Cover open,Tapa abierta,カバーが開いています,有机盖打开,外殼開啟,Cover open
Cover percentage,Porcentaje cubierto,,覆盖百分比,,Cover percentage
Covington,,コビントン,科文顿,科文頓,Covington
Cox Dayton International Airport,"Cox Dayton , aeropuerto internacional",,,,Cox Dayton International Airport
Cozumel,,コスメル,科祖梅尔,科租美,Cozumel
Craig,,クレイグ,克雷格,克雷格,Craig
Craig Airport,"Craig , aeropuerto",クレイグ空港,,克雷格機場,Craig Airport
Craig Municipal Airport,"Craig , aeropuerto municipal",,,,Craig Municipal Airport
Craiova,,クラヨバ,克拉约瓦,克拉約瓦,Craiova
Cranbrook,,クランブルック,,克蘭布魯,Cranbrook
Crane Lake,,クレーンレーク,鹤湖,克蘭湖,Crane Lake
Cranwell,,クランウェル,坎威尔,,Cranwell
Crawling interval,,クロール時のインターバル,抓取间隔,抓取資料間隔,Crawling interval
Crazy,Loco,,,,Crazy
Create,Crear,画像の作成,创建,建立,Create
Create Archive,,書庫の作成,创建归档文件,,Create Archive
Create Archive …,,書庫の作成 ...,创建归档文件 ...,建立壓縮檔 ...,Create Archive …
Create Bezier Outline,,ベジエアウトラインの生成,创建贝塞尔曲线轮廓,,Create Bezier Outline
Create CD,Crear CD,,创建光盘,建立 CD,Create CD
Create Contact,Quitar contacto,連絡先を削除,移除联系人,移除連絡人,Create Contact
Create From Image,,イメージから生成,从映像创建,從光碟影像檔製作光碟,Create From Image
Create Launcher,,ランチャの作成,创建启动器,建立啟動圖示,Create Launcher
Create Layer :,,レイヤーの作成 :,创建图层,刪除圖層,Create Layer :
Create Local Account,Crear una cuenta local,,建立本地帐号,建立本地使用者帳號,Create Local Account
Create Mail,Crear correo,,创建邮件,建立郵件,Create Mail
Create New Bookmark,,,创建新书签,,Create New Bookmark
Create New Note,Crear una nota nueva,,创建新便笺,建立新的筆記,Create New Note
Create New Tag,Crear etiqueta nueva,,创建新标签,建立新標籤,Create New Tag
Create New Tag …,Crear una etiqueta,,创建新标签 ...,建立新標籤 ...,Create New Tag …
Create New Wi-Fi Network,,新しい Wi-Fi ネットワークを作成,创建新的 Wi-Fi 网络,建立新的 Wi-Fi 網路,Create New Wi-Fi Network
Create Partition,Crear partición,パーティションを作成,创建分区,建立分割區,Create Partition
Create Partition Table,,パーティションテーブルを作成,创建分区表,建立分割表,Create Partition Table
Create Patch,,,,建立修正檔,Create Patch
Create Profile,Crear perfil,プロファイルの生成,创建内存使用分析,建立記憶體使用摘要,Create Profile
Create RAID,Crear RAID,,,建立 RAID,Create RAID
Create RAID Array,Crear un conjunto RAID,RAID アレイを作成,创建磁盘阵列,建立 RAID 陣列,Create RAID Array
Create Selection from Path,,パスから生成,,,Create Selection from Path
Create Tag,Crear etiqueta,,创建标签,建立標籤,Create Tag
Create VPN Connection,Crear conexión VPN,VPN接続を作成する,创建 VPN 连接,建立 VPN 連線,Create VPN Connection
Create VPN Connection - 1 of 2,,,创建 VPN 连接 - 第一步 ， 共两步,建立 VPN 連線 - 第一步,Create VPN Connection - 1 of 2
Create VPN Connection - 2 of 2,,,创建 VPN 连接 - 第二步 ， 共两步,建立 VPN 連線 - 第二步,Create VPN Connection - 2 of 2
Create Watchpoint,,,,建立監看點,Create Watchpoint
Create Web Application,Crear una aplicación web,,创建 Web 应用程序,建立網頁應用程式,Create Web Application
Create With File,,ファイルと一緒に生成,以文件创建,從檔案製作光碟,Create With File
Create a Box,Crear una caja,ボックスを作成,创建一个 Box,建立箱子,Create a Box
Create a Layer Group,,レイヤーグループをつくる,,,Create a Layer Group
Create a Local Account,Crear una cuenta local,ローカルアカウントの作成,建立本地帐号,建立本地端帳號,Create a Local Account
Create a New Colour :,Crear un color nuevo :,,创建新颜色 ：,新增顏色 ：,Create a New color :
Create a New Emblem,Crear un emblema nuevo,,创建新徽标,建立新的圖章,Create a New Emblem
Create a New Key,,,创建新密钥,,Create a New Key
Create a PGP Key,,,创建 PGP 密钥,,Create a PGP Key
Create a RAID array,Crear un conjunto RAID,RAID アレイを作成,创建 RAID 阵列,建立 RAID 陣列,Create a RAID array
Create a Starting Point,,始点をとる,,,Create a Starting Point
Create a colour profile,,カラープロファイルの作成,创建色彩配置文件,建立色彩描述檔,Create a color profile
Create a new ACL entry in current mailbox,,,在当前邮箱内创建新 ACL 项,,Create a new ACL entry in current mailbox
Create a new IRC network,,,创建新的 IRC 网络,,Create a new IRC network
Create a new Note,Crear una nota nueva,新規にメモを生成するキー,创建新便笺,建立新的筆記,Create a new Note
Create a new Software RAID array,,新規にソフトウェア RAID アレイを作成します,创建一个新的软 RAID 阵列,建立新的軟體 RAID 陣列,Create a new Software RAID array
Create a new album,Crear un álbum nuevo,,创建一个新相册,建立新相簿,Create a new album
Create a new archive,,新しい書庫ファイルを生成します,创建新归档文件,建立新的壓縮檔,Create a new archive
Create a new archiveFile,,新しい書庫ファイルを生成しますFile,创建新归档文件File,建立新的壓縮檔File,Create a new archiveFile
Create a new catalogue,Crear un catálogo nuevo,新しいカタログを生成します,创建新的一览表,建立新的圖片集,Create a new catalogue
Create a new catalogue library,,新しいカタログ用ライブラリを生成します,创建新的一览表图库,建立新的圖庫,Create a new catalog library
Create a new category,Crear una categoría nueva,新しいカテゴリを生成します,创建新类别,新增分類,Create a new category
Create a new file,Crear un archivo nuevo,新しいファイルを作成します,新建文件,建立新檔案,Create a new file
Create a new group,Crear un grupo nuevo,,创建一个新组,,Create a new group
Create a new key or item,,新しい鍵またはアイテムを生成します,,建立新的金鑰或項目,Create a new key or item
Create a new launcher,,新しい独自のランチャを生成します,创建新启动器,新增啟動圖示,Create a new launcher
Create a new logical volume,Crear un volumen lógico nuevo,新規論理ボリュームを作成,创建新逻辑卷,建立新的邏輯儲存區,Create a new logical volume
Create a new note,Crear una nota nueva,新しいメモを作成します,创建新便笺,建立新的筆記,Create a new note
Create a new note in a notebook,,メモ帳の中に新しいメモを作成します,在便笺本中创建新便笺,在筆記簿裡新建筆記,Create a new note in a notebook
Create a new notebook,,メモ帳の作成,创建新便笺本,建立新筆記簿,Create a new notebook
Create a new partition,Crear una partición nueva,新規パーティションを作成,创建新分区,建立新的分割區,Create a new partition
Create a new partition …,Crear una partición nueva,,创建新分区,建立新的分割區 …,Create a new partition …
Create a new private key,,新しい秘密鍵を生成します,,建立新的私密金鑰,Create a new private key
Create a new project,,新しいプロジェクトを作成します,创建新项目,建立新的預置設定,Create a new project
Create a new tab group,,,新建一个标签组,建立新的分頁群組,Create a new tab group
Create a new template,Crear una plantilla nueva,新しいテンプレートを作成,,,Create a new template
Create a new template .,Crear una plantilla nueva,新しいテンプレートを作成します,创建新模板 。,,Create a new template .
Create a new topic,Crear un tema nuevo,新しいトピックを作成します,创建新主题,建立新的主題,Create a new topic
Create a profile,Crear un perfil,プロファイルの作成,创建配置文件,建立描述檔,Create a profile
Create an account,Crear una cuenta,,创建一个账户,,Create an account
Create an image of a webpage,,ウェブサイト上の画像ファイルを開くときはこの語句から記入します 。,,,Create an image of a webpage
Create arc,Crear arco,アーチの作成,,,Create arc
Create backup,,,,建立備份,Create backup
Create bezier curve,Crear curva bezier,ベジエ曲線の作成,,,Create bezier curve
Create box object,,矩形オブジェクトを作成します,新建框对象,建立方塊物件,Create box object
Create circle,Crear ci rculo,円の作成,,,Create circle
Create error,Error al crear,作成エラー,创建错误,建立時發生錯誤,Create error
Create image,Crear imagen,画像の作成,,,Create image
Create image object,Crear una imagen,画像オブジェクトを作成します,新建图片对象,建立圖像物件,Create image object
Create library,Crear,,,,Create library
Create line,Crear li nea,直線の作成,,,Create line
Create line object,Crear una línea,直線オブジェクトを作成します,新建线条对象,建立線條物件,Create line object
Create mailbox,Crear buzón,,创建邮箱,,Create mailbox
Create network game,,ネットワークゲームを作成,创建网络游戏,建立網路遊戲,Create network game
Create new Group,,,创建新组,,Create new Group
Create new Partition,Crear una partición nueva,,创建新分区,建立新的分割區,Create new Partition
Create new group,Crear un grupo nuevo,,创建新组,,Create new group
Create new image,Crear una imagen nueva,新規画像作成,,,Create new image
Create new layer,Crear una capa nueva,新しいレイヤーを作成する,,,Create new layer
Create new matching rule,,新規ルールの作成,创建新的匹配规则,建立新的比對規則,Create new matching rule
Create new note,Crear una nota nueva,,创建新便笺,,Create new note
Create only one multilayer Image,,フレームから複数画像を作成する,,由畫格建立多圖層的圖像,Create only one multilayer Image
Create or Replace,,ビデオインデックスファイルの作成,创建视频索引文件,貼上並取代,Create or Replace
Create partition,Crear partición,パーティションを作成します,创建分区,建立分割區,Create partition
Create rectangle,Crear recta ngulo,矩形の作成,,,Create rectangle
Create regular polygon,Crear poli gono regular,正多角形を作成,,,Create regular polygon
Create report ...,Crear informe ...,,创建报告 ...,,Create report ...
Create text object,,文字オブジェクトを作成します,新建文字对象,建立文字物件,Create text object
Create without Saving,,,新建不保存,新建不保存,Create without Saving
Create …,Crear,作成 …,新建 ...,建立 …,Create …
Creating,Crear,作成,创建,建立,Creating
Creating A New Image,Crear una imagen nueva,新しい画像を生成,,,Creating A New Image
Creating A Text Box Script,,テキストボックススクリプトを作成,,,Creating A Text Box Script
Creating Gallery …,,ギャラリーの作成中 ...,正在创建画册 ...,正在建立藝廊 ...,Creating Gallery …
