ENTRY_ID,NOTE,LOCALE_cmn-Hans-CN,LOCALE_cmn-Hant-TW,LOCALE_eng-Latn-US,LOCALE_jpn-Jpan-JP,LOCALE_spa-Latn-ES
mapLens.noData,,此词句无地理分布数据,此詞句無地理分佈資料,No geographic distribution data for this expression,この詞句の地理的分布データはありません,No hay datos de distribución geográfica para esta expresión
mapLens.regions,,{count} 个地区,{count} 個地區,{count} regions,{count} 地域,{count} regiones
mapLens.title,,词句分布,詞句分佈,Expression distribution,詞句の分布,Distribución de la expresión
mappingDetail.addAndMap,,新增并建立映射,新增並建立對應,Add and create mapping,追加して関係を作成,Añadir y crear relación
mappingDetail.addExpression,,新增词句,新增詞句,Add expression,表現を追加,Añadir expresión
mappingDetail.addFailed,,无法新增词句,無法新增詞句,Unable to add expression,表現を追加できませんでした,No se pudo añadir la expresión
mappingDetail.adding,,新增中…,新增中…,Adding…,追加中…,Añadiendo…
mappingDetail.allLanguages,,所有语言,所有語言,All languages,すべての言語,Todos los idiomas
mappingDetail.authority,,权威,權威,Authority,権威,Autoridad
mappingDetail.breadcrumb,,面包屑,麵包屑,Breadcrumb,パンくず,Ruta de navegación
mappingDetail.closeQuickAdd,,关闭快速新增,關閉快速新增,Close quick add,クイック追加を閉じる,Cerrar adición rápida
mappingDetail.contribute,,贡献映射,貢獻對應,Contribute mapping,関係を投稿,Contribuir relación
mappingDetail.direct,,直接映射,直接對應,direct mappings,直接関係,relaciones directas
mappingDetail.enterRequired,,请输入词句与语言代码,請輸入詞句與語言代碼,Enter expression and language code,表現と言語コードを入力してください,Introduce expresión y código de idioma
mappingDetail.expression,,词句,詞句,Expression,表現,Expresión
mappingDetail.expressionPlaceholder,,输入词句…,輸入詞句…,Enter expression…,表現を入力…,Introduce una expresión…
mappingDetail.graph,,图谱,圖譜,Graph,グラフ,Grafo
mappingDetail.graphTruncated,,图谱已截断；略过 {count} 个相关词句。,圖譜已截斷；略過 {count} 個相關詞句。,Graph truncated; {count} related expressions omitted.,グラフは省略されました。関連する表現 {count} 件を省略しています。,El grafo se ha truncado; se omitieron {count} expresiones relacionadas.
mappingDetail.home,,首页,首頁,Home,ホーム,Inicio
mappingDetail.hops,,跳数,跳數,hops,ホップ数,saltos
mappingDetail.indirect,,间接,間接,indirect,間接,indirecta
mappingDetail.languageCode,,语言代码,語言代碼,Language code,言語コード,Código de idioma
mappingDetail.languageCodePlaceholder,,例如 en / cmn-Hant,例如 en / cmn-Hant,e.g. en / cmn-Hant,例：en / cmn-Hant,ej. en / cmn-Hant
mappingDetail.list,,列表,列表,List,リスト,Lista
mappingDetail.loadFailed,,无法加载,無法載入,Unable to load,読み込めませんでした,No se pudo cargar
mappingDetail.mappingSet,,映射集合,對應集合,Mapping set,関係セット,Conjunto de relaciones
mappingDetail.noMappings,,尚无映射,尚無對應,No mappings yet,まだ関係がありません,Aún no hay relaciones
mappingDetail.optional,,选填,選填,Optional,任意,Opcional
mappingDetail.quickAdd,,快速新增词句,快速新增詞句,Quickly add expression,表現をすばやく追加,Añadir expresión rápidamente
mappingDetail.quickAddLead,,新增词句并直接映射到当前词句。,新增詞句並直接對應到目前詞句。,Add an expression and map it directly to the current expression.,表現を追加し、現在の表現に直接マップします。,Añade una expresión y relaciónala directamente con la expresión actual.
mappingDetail.region,,地区,地區,Region,地域,Región
mappingDetail.splitExpression,,拆分词句,拆分詞句,Split expression,表現を分割,Dividir expresión
mappingDetail.splitFailed,,无法拆分词句,無法拆分詞句,Unable to split expression,表現を分割できません,No se pudo dividir la expresión
mappingDetail.splitLoadFailed,,无法加载要拆分的对应关系,無法載入要拆分的對應關係,Unable to load mappings for split,分割する対応関係を読み込めません,No se pudieron cargar las relaciones para dividir
mappingDetail.targetLanguage,,目标语言,目標語言,Target language,対象言語,Idioma de destino
mappingDetail.user,,用户,使用者,User,ユーザー,Usuario
mappingDetail.viewMap,,在地图上查看此词句,在地圖上檢視此詞句,View this expression on map,この詞句を地図で表示,Ver esta expresión en el mapa
morphology.addFormLink,,新增词形关联,新增詞形關聯,Add a word-form link,語形リンクを追加,Añadir enlace de forma
morphology.class.adjective,,形容词,形容詞,Adjective,形容詞,Adjetivo
morphology.class.noun,,名词,名詞,Noun,名詞,Sustantivo
morphology.class.verb,,动词,動詞,Verb,動詞,Verbo
morphology.dictionaryForm,,辞典形,辭書形,Dictionary form,辞書形,Forma de diccionario
morphology.empty,,尚无词形关联,尚無詞形關聯,No word-form links yet,語形リンクはまだありません,Aún no hay enlaces de forma
morphology.formOfAria,,{lemma} 的变化形：{features},{lemma} 的變化形：{features},Form of {lemma}: {features},{lemma} の変化形：{features},Forma de {lemma}: {features}
morphology.hideForm,,收起表单,收起表單,Hide form,フォームを閉じる,Ocultar formulario
morphology.loadFailed,,无法加载词形,無法載入詞形,Unable to load word forms,語形を読み込めませんでした,No se pudieron cargar las formas
morphology.markAsForm,,标为某个词的变化形…,標為某個詞的變化形…,Mark as a form of…,ある語の変化形として記録…,Marcar como forma de…
morphology.noLanguageFeatures,,这个词类没有预设特征。仍可先保存关联，或改显示全部特征。,這個詞類沒有預設特徵。仍可先儲存關聯，或改顯示全部特徵。,"No usual features for this class. You can still save the link, or show all features.",この品詞の既定特徴はありません。リンクだけ保存するか、すべての特徴を表示できます。,No hay rasgos habituales para esta clase. Puedes guardar el enlace o mostrar todos los rasgos.
morphology.pickFeatures,,特征,特徵,Features,特徴,Rasgos
morphology.pickFeaturesHint,,选填。只显示此语言、此词类常用的特征。,選填。只顯示此語言、此詞類常用的特徵。,Optional. Only features usual for this language and word class are shown.,任意。この言語・この品詞でよく使う特徴だけ表示します。,Opcional. Solo se muestran los rasgos habituales de este idioma y esta clase.
morphology.saved,,已保存词形关联,已儲存詞形關聯,Word-form link saved,語形リンクを保存しました,Enlace de forma guardado
morphology.saving,,保存中…,儲存中…,Saving…,保存中…,Guardando…
morphology.searchLemma,,搜索同一语言的辞典形,搜尋同一語言的辭書形,Search a same-language dictionary form,同じ言語の辞書形を検索,Buscar una forma de diccionario en el mismo idioma
morphology.searchLemmaLabel,,辞典形,辭書形,Dictionary form,辞書形,Forma de diccionario
morphology.showAllFeatures,,显示全部特征,顯示全部特徵,Show all features,すべての特徴を表示,Mostrar todos los rasgos
morphology.submit,,保存词形关联,儲存詞形關聯,Save form link,語形リンクを保存,Guardar enlace de forma
morphology.submitFailed,,无法保存词形关联,無法儲存詞形關聯,Unable to save form link,語形リンクを保存できませんでした,No se pudo guardar el enlace de forma
morphology.title,,词形变化,詞形變化,Word forms,語形変化,Formas de la palabra
morphology.wordClass,,词类,詞類,Word class,品詞,Clase de palabra
morphology.wordClassHint,,先选名词、动词或形容词，再显示对应特征。,先選名詞、動詞或形容詞，再顯示對應特徵。,"Choose noun, verb, or adjective first. Features depend on that.",先に名詞・動詞・形容詞を選ぶと、対応する特徴だけ出ます。,"Elige primero sustantivo, verbo o adjetivo. Los rasgos dependen de eso."
nav.closeMenu,,关闭菜单,關閉選單,Close menu,メニューを閉じる,Cerrar menú
nav.contribute,,贡献,貢獻,Contribute,貢献,Contribuir
nav.handbooks,,手册,手冊,Handbooks,ハンドブック,Manuales
nav.home,,首页,首頁,Home,ホーム,Inicio
nav.languages,,语言,語言,Languages,言語,Idiomas
nav.menu,,菜单,選單,Menu,メニュー,Menú
nav.openMenu,,打开菜单,開啟選單,Open menu,メニューを開く,Abrir menú
nav.searchExpressions,,搜索词句,搜尋詞句,Search expressions,表現を検索,Buscar expresiones
nav.signIn,,登录,登入,Sign in,ログイン,Iniciar sesión
nav.signOut,,退出登录,登出,Sign out,ログアウト,Cerrar sesión
nav.skipToContent,,跳转到主要内容,跳至主要內容,Skip to main content,メインコンテンツへ移動,Ir al contenido principal
nav.submitSearch,,提交搜索,送出搜尋,Submit search,検索を実行,Enviar búsqueda
nav.switchLanguage,,切换界面语言,切換介面語言,Switch interface language,インターフェース言語を切り替え,Cambiar idioma de la interfaz
profile.email,,邮箱,電子郵件,Email,メールアドレス,Correo electrónico
profile.loadFailed,,无法加载个人资料,無法載入個人資料,Unable to load profile,プロフィールを読み込めませんでした,No se pudo cargar el perfil
profile.memberSince,,加入时间,加入時間,Member since,登録日,Miembro desde
profile.mustLogin,,请先登录,請先登入,Please sign in to view your profile,ログインしてください,Inicia sesión primero
profile.noActivity,,暂无活动记录,暫無活動記錄,No activity yet,アクティビティはありません,No hay actividad
profile.recentActivity,,最近活动,最近活動,Recent activity,最近のアクティビティ,Actividad reciente
profile.role,,角色,角色,Role,役割,Rol
profile.signOut,,退出登录,登出,Sign out,ログアウト,Cerrar sesión
profile.title,,个人资料,個人資料,Profile,プロフィール,Perfil
search.allLanguages,,所有语言,所有語言,All languages,すべての言語,Todos los idiomas
search.alphabetical,,按字母顺序,依字母順序,Alphabetical,アルファベット順,Alfabético
search.chooseLanguage,,选择语言,選擇語言,Choose a language,言語を選択,Elegir un idioma
search.expressionsAvailable,,{count} 个词句,{count} 個詞句,{count} expressions,{count} 件の表現,{count} expresiones
search.hint,,提示：目前搜索匹配词句原文。翻译（语义）搜索即将推出。,提示：目前搜尋比對詞句原文。語意搜尋即將推出。,Tip: search currently matches expression text. Translation (semantic) search is coming later.,ヒント：現在の検索は表現テキストに一致します。意味検索は後日提供予定です。,Consejo: la búsqueda actual coincide con el texto de la expresión. La búsqueda semántica llegará más adelante.
search.languageRequired,,请选择要搜索的语言,請選擇要搜尋的語言,Select a language to search in,検索する言語を選択してください,Selecciona un idioma para buscar
search.languagesLoadFailed,,无法加载可搜索语言,無法載入可搜尋語言,Unable to load searchable languages,検索可能な言語を読み込めませんでした,No se pudieron cargar los idiomas disponibles para buscar
search.loadFailed,,搜索失败,搜尋失敗,Search failed,検索に失敗しました,Error al buscar
search.loadMoreFailed,,无法加载更多结果,無法載入更多結果,Unable to load more results,続きの結果を読み込めませんでした,No se pudieron cargar más resultados
search.newest,,最新,最新,Latest,最新,Más reciente
search.noResults,,未找到结果,找不到結果,No results found,結果が見つかりません,Sin resultados
search.placeholder,,搜索词句…,搜尋詞句…,Search expressions…,表現を検索…,Buscar expresiones…
search.popular,,热门,熱門,Popular,人気,Popular
search.recentLanguages,,最近使用,最近使用,Recent languages,最近使用した言語,Idiomas recientes
search.results,,{count} 个结果,{count} 個結果,{count} result | {count} results,{count} 件の結果,{count} resultado | {count} resultados
search.sort,,排序,排序,Sort,並び替え,Ordenar
search.title,,搜索词句,搜尋詞句,Search expressions,表現を検索,Buscar expresiones
splitDialog.score,,分数 {score},分數 {score},score {score},スコア {score},puntuación {score}
splitDialog.selectMappings,,选择要移动的对应关系,選擇要移動的對應關係,Select mappings to move,移動する対応関係を選択,Selecciona las relaciones que moverás
splitDialog.splitting,,拆分中…,拆分中…,Splitting…,分割中…,Dividiendo…
splitDialog.title,,拆分词句,拆分詞句,Split expression,表現を分割,Dividir expresión
splitDialog.warning,,读音、语言环境认证与手册项目不会被复制。,讀音、語言環境認證與手冊項目不會被複製。,"Readings, locale attestations and handbook items will not be copied.",読み、ロケールの証明、ハンドブック項目はコピーされません。,"No se copiarán las lecturas, las certificaciones de configuración regional ni los elementos del manual."
translate.addLocale,,添加要翻译的语言,新增要翻譯的語言,Add a language to translate,翻訳する言語を追加,Añadir un idioma para traducir
translate.batchSubmit,,提交 {count} 条翻译,提交 {count} 筆翻譯,Submit {count} translations,{count} 件の翻訳を送信,Enviar {count} traducciones
translate.candidate,,当前翻译,目前翻譯,Current translation,現在の翻訳,Traducción actual
translate.candidateScore,,分数 {score},分數 {score},score {score},スコア {score},puntuación {score}
translate.chooseRegistryLanguage,,选择已注册的语言,選擇已註冊的語言,Choose a registered language,登録済みの言語を選択,Elige un idioma registrado
translate.coverage,,翻译覆盖率,翻譯涵蓋率,Translation coverage,翻訳カバレッジ,Cobertura de traducción
translate.displayed,,显示 {count} 条,顯示 {count} 筆,{count} shown,{count} 件表示,{count} mostrados
translate.eyebrow,,社区本地化,社群本地化,COMMUNITY LOCALIZATION,コミュニティ翻訳,LOCALIZACIÓN COMUNITARIA
translate.inputPlaceholder,,输入翻译…,輸入翻譯…,Enter translation…,翻訳を入力…,Introduce la traducción…
translate.key,,消息键,訊息鍵,Message key,メッセージキー,Clave del mensaje
translate.loadFailed,,无法加载翻译工作台,無法載入翻譯工作台,Unable to load translation workbench,翻訳ワークベンチを読み込めませんでした,No se pudo cargar el área de trabajo de traducción
translate.loading,,加载中…,載入中…,Loading…,読み込み中…,Cargando…
translate.locale,,目标语言,目標語言,Target language,対象言語,Idioma de destino
translate.localesFailed,,无法加载语言列表,無法載入語言列表,Unable to load locale list,言語リストを読み込めませんでした,No se pudo cargar la lista de idiomas
translate.loginNote,,登录后可提交翻译；候选翻译按映射分数排序，无正分候选时使用回退文本。,登入後可提交翻譯；候選翻譯依對應分數排序，無正分候選時使用備用文字。,Sign in to submit translations; candidates are selected by mapping score and fallback is used when no positive candidate exists.,ログインして翻訳を送信。候補は関係スコアで選択され、適切な候補がない場合はフォールバックが使用されます。,Inicia sesión para enviar traducciones; los candidatos se seleccionan por puntuación de relación y se usa el texto de respaldo cuando no hay un candidato positivo.
translate.noResults,,未找到匹配文本。,找不到相符文字。,No matching copy found.,一致するテキストが見つかりません。,No se encontraron textos coincidentes.
translate.pendingSubmit,,待提交,待提交,Pending submit,送信待ち,Pendiente de enviar
translate.preview,,预览,預覽,Preview,プレビュー,Vista previa
translate.reference,,参考语言,參考語言,Reference language,参照言語,Idioma de referencia
translate.searchPlaceholder,,搜索键名或原文…,搜尋鍵名或原文…,Search key or source text…,キーまたは原文を検索…,Buscar clave o texto original…
translate.selectLocale,,选择翻译语言,選擇翻譯語言,Choose translation language,翻訳言語を選択,Elegir idioma de traducción
translate.source,,英文原文,英文原文,EN source,英語原文,Original en inglés
translate.sourceAuto,,自动,自動,Auto,自動,Automático
translate.sourceManual,,手动,手動,Manual,手動,Manual
translate.sourceSystem,,系统,系統,System,システム,Sistema
translate.start,,开始,開始,Start,開始,Comenzar
translate.statusActive,,已启用,已啟用,Active,アクティブ,Activo
translate.statusArchived,,已归档,已封存,Archived,アーカイブ済み,Archivado
translate.statusDraft,,草稿,草稿,Draft,下書き,Borrador
translate.submitFailed,,提交失败,提交失敗,Submission failed,送信に失敗しました,Error al enviar
translate.submitMapping,,提交映射,提交對應,Submit mapping,関係を送信,Enviar relación
translate.submitted,,已提交,已提交,Submitted,送信済み,Enviado
translate.subtitle,,帮助让 LangMap 界面文本更自然、更实用。,幫助讓 LangMap 介面文字更自然、更實用。,Help make LangMap interface text natural and useful.,LangMap のインターフェース文言を自然で使いやすくするお手伝いをします。,Ayuda a que el texto de la interfaz de LangMap sea natural y útil.
translate.title,,翻译工作台,翻譯工作台,Translation workbench,翻訳ワークベンチ,Área de trabajo de traducción
translate.translateKey,,翻译 {key},翻譯 {key},Translate {key},{key} を翻訳,Traducir {key}
translate.translated,,已翻译,已翻譯,translated,翻訳済み,traducido
translate.translation,,翻译,翻譯,Translation,翻訳,Traducción
